Posicao_mm;Dureza_HRC
0;61.5
1.6;61.5
3.2;61
4.8;58
6.4;58.5
8;57
9.6;57
11.2;57
12.8;53
14.4;53
16;53
17.6;52
19.2;52
20.8;51.5
22.4;51.5
24;51
27.2;51
30.4;49
33.6;48
36.8;48
40;47
43.2;44
46.4;45
49.6;44
52.8;43
56;43
59.2;40
62.4;40
65.6;40
68.8;39.7
72;39
75.2;38.6
78.4;38.4
81.6;38
84.8;37.5
88;37
91.2;37
94.4;36
97.6;35
100.8;35
