2Theta	Intensidade
35,61847069	346
35,65786154	357
35,69725239	344
35,73664323	334
35,77603408	322
35,81542493	345
35,85481577	333
35,89420662	304
35,93359747	328
35,97298831	317
36,01237916	330
36,05177001	378
36,09116085	308
36,1305517	331
36,16994255	322
36,20933339	315
36,24872424	317
36,28811509	279
36,32750593	342
36,36689678	290
36,40628763	303
36,44567847	321
36,48506932	315
36,52446017	289
36,56385101	300
36,60324186	306
36,64263271	298
36,68202355	331
36,7214144	325
36,76080525	319
36,80019609	285
36,83958694	335
36,87897779	297
36,91836863	314
36,95775948	361
36,99715033	345
37,03654117	269
37,07593202	314
37,11532287	337
37,15471371	311
37,19410456	301
37,23349541	297
37,27288625	323
37,3122771	311
37,35166795	304
37,39105879	315
37,43044964	295
37,46984049	283
37,50923133	336
37,54862218	281
37,58801303	290
37,62740387	299
37,66679472	305
37,70618557	332
37,74557641	289
37,78496726	275
37,82435811	293
37,86374895	275
37,9031398	284
37,94253065	299
37,98192149	277
38,02131234	293
38,06070319	288
38,10009403	306
38,13948488	278
38,17887573	269
38,21826657	294
38,25765742	280
38,29704827	280
38,33643911	253
38,37582996	260
38,41522081	286
38,45461165	281
38,4940025	258
38,53339335	270
38,57278419	288
38,61217504	247
38,65156589	308
38,69095673	287
38,73034758	258
38,76973843	257
38,80912927	224
38,84852012	286
38,88791097	290
38,92730181	309
38,96669266	276
39,00608351	250
39,04547435	286
39,0848652	284
39,12425605	275
39,16364689	300
39,20303774	265
39,24242859	269
39,28181943	298
39,32121028	249
39,36060113	270
39,39999197	246
39,43938282	279
39,47877367	265
39,51816451	290
39,55755536	257
39,59694621	271
39,63633705	280
39,6757279	265
39,71511875	264
39,75450959	245
39,79390044	258
39,83329129	274
39,87268213	297
39,91207298	254
39,95146383	291
39,99085467	233
40,03024552	264
40,06963637	243
40,10902721	236
40,14841806	265
40,18780891	245
40,22719975	253
40,2665906	233
40,30598145	239
40,34537229	263
40,38476314	205
40,42415399	255
40,46354483	242
40,50293568	255
40,54232653	256
40,58171737	247
40,62110822	248
40,66049906	269
40,69988991	233
40,73928076	237
40,7786716	245
40,81806245	223
40,8574533	236
40,89684414	248
40,93623499	265
40,97562584	256
41,01501668	204
41,05440753	239
41,09379838	250
41,13318922	241
41,17258007	213
41,21197092	270
41,25136176	226
41,29075261	242
41,33014346	247
41,3695343	245
41,40892515	240
41,448316	239
41,48770684	220
41,52709769	222
41,56648854	265
41,60587938	260
41,64527023	247
41,68466108	232
41,72405192	246
41,76344277	251
41,80283362	241
41,84222446	247
41,88161531	254
41,92100616	227
41,960397	246
41,99978785	231
42,0391787	251
42,07856954	214
42,11796039	228
42,15735124	246
42,19674208	222
42,23613293	211
42,27552378	197
42,31491462	216
42,35430547	223
42,39369632	247
42,43308716	221
42,47247801	246
42,51186886	238
42,5512597	224
42,59065055	216
42,6300414	207
42,66943224	229
42,70882309	222
42,74821394	242
42,78760478	213
42,82699563	179
42,86638648	223
42,90577732	249
42,94516817	218
42,98455902	206
43,02394986	208
43,06334071	236
43,10273156	228
43,1421224	214
43,18151325	239
43,2209041	243
43,26029494	193
43,29968579	239
43,33907664	209
43,37846748	225
43,41785833	227
43,45724918	216
43,49664002	190
43,53603087	186
43,57542172	227
43,61481256	211
43,65420341	234
43,69359426	226
43,7329851	228
43,77237595	227
43,8117668	222
43,85115764	240
43,89054849	220
43,92993934	207
43,96933018	226
44,00872103	232
44,04811188	233
44,08750272	213
44,12689357	258
44,16628442	224
44,20567526	208
44,24506611	207
44,28445696	251
44,3238478	228
44,36323865	243
44,4026295	235
44,44202034	253
44,48141119	225
44,52080204	241
44,56019288	226
44,59958373	238
44,63897458	216
44,67836542	257
44,71775627	218
44,75714712	235
44,79653796	210
44,83592881	214
44,87531966	223
44,9147105	212
44,95410135	283
44,9934922	249
45,03288304	215
45,07227389	235
45,11166474	296
45,15105558	242
45,19044643	303
45,22983728	381
45,26922812	467
45,30861897	734
45,34800982	1123
45,38740066	1589
45,42679151	1832
45,46618236	2176
45,5055732	2375
45,54496405	2369
45,5843549	2241
45,62374574	1927
45,66313659	1361
45,70252744	1056
45,74191828	800
45,78130913	478
45,82069998	322
45,86009082	259
45,89948167	262
45,93887252	238
45,97826336	255
46,01765421	222
46,05704506	247
46,0964359	201
46,13582675	225
46,1752176	245
46,21460844	236
46,25399929	252
46,29339014	243
46,33278098	243
46,37217183	204
46,41156268	222
46,45095352	216
46,49034437	204
46,52973522	225
46,56912606	212
46,60851691	193
46,64790776	203
46,6872986	194
46,72668945	218
46,7660803	233
46,80547114	177
46,84486199	196
46,88425284	218
46,92364368	215
46,96303453	210
47,00242538	190
47,04181622	230
47,08120707	190
47,12059792	193
47,15998876	194
47,19937961	235
47,23877046	205
47,2781613	190
47,31755215	187
47,356943	187
47,39633384	216
47,43572469	195
47,47511554	206
47,51450638	222
47,55389723	226
47,59328808	167
47,63267892	183
47,67206977	188
47,71146062	185
47,75085146	204
47,79024231	174
47,82963316	174
47,869024	193
47,90841485	209
47,9478057	207
47,98719654	184
48,02658739	224
48,06597824	185
48,10536908	218
48,14475993	192
48,18415078	184
48,22354162	201
48,26293247	168
48,30232332	203
48,34171416	180
48,38110501	161
48,42049585	173
48,4598867	192
48,49927755	209
48,53866839	180
48,57805924	169
48,61745009	172
48,65684093	191
48,69623178	178
48,73562263	174
48,77501347	204
48,81440432	166
48,85379517	187
48,89318601	187
48,93257686	177
48,97196771	187
49,01135855	168
49,0507494	190
49,09014025	184
49,12953109	180
49,16892194	168
49,20831279	184
49,24770363	172
49,28709448	198
49,32648533	203
49,36587617	193
49,40526702	162
49,44465787	181
49,48404871	186
49,52343956	196
49,56283041	173
49,60222125	176
49,6416121	182
49,68100295	167
49,72039379	171
49,75978464	191
49,79917549	178
49,83856633	165
49,87795718	179
49,91734803	170
49,95673887	171
49,99612972	195
50,03552057	174
50,07491141	161
50,11430226	174
50,15369311	201
50,19308395	182
50,2324748	191
50,27186565	165
50,31125649	167
50,35064734	157
50,39003819	193
50,42942903	173
50,46881988	177
50,50821073	204
50,54760157	173
50,58699242	154
50,62638327	178
50,66577411	167
50,70516496	173
50,74455581	206
50,78394665	163
50,8233375	163
50,86272835	167
50,90211919	153
50,94151004	175
50,98090089	156
51,02029173	181
51,05968258	168
51,09907343	150
51,13846427	173
51,17785512	177
51,21724597	161
51,25663681	178
51,29602766	187
51,33541851	155
51,37480935	137
51,4142002	173
51,45359105	129
51,49298189	163
51,53237274	151
51,57176359	153
51,61115443	152
51,65054528	145
51,68993613	154
51,72932697	133
51,76871782	155
51,80810867	155
51,84749951	161
51,88689036	163
51,92628121	166
51,96567205	145
52,0050629	174
52,04445375	158
52,08384459	161
52,12323544	176
52,16262629	162
52,20201713	173
52,24140798	153
52,28079883	152
52,32018967	179
52,35958052	175
52,39897137	149
52,43836221	153
52,47775306	141
52,51714391	150
52,55653475	134
52,5959256	132
52,63531645	144
52,67470729	157
52,71409814	170
52,75348899	160
52,79287983	164
52,83227068	144
52,87166153	187
52,91105237	135
52,95044322	177
52,98983407	175
53,02922491	142
53,06861576	175
53,10800661	160
53,14739745	149
53,1867883	150
53,22617915	166
53,26556999	143
53,30496084	155
53,34435169	162
53,38374253	162
53,42313338	183
53,46252423	152
53,50191507	135
53,54130592	152
53,58069677	165
53,62008761	156
53,65947846	169
53,69886931	233
53,73826015	280
53,777651	359
53,81704185	382
53,85643269	389
53,89582354	379
53,93521439	369
53,97460523	356
54,01399608	317
54,05338693	260
54,09277777	223
54,13216862	229
54,17155947	202
54,21095031	170
54,25034116	160
54,28973201	151
54,32912285	144
54,3685137	132
54,40790455	148
54,44729539	144
54,48668624	146
54,52607709	161
54,56546793	162
54,60485878	162
54,64424963	148
54,68364047	141
54,72303132	165
54,76242217	155
54,80181301	146
54,84120386	131
54,88059471	141
54,91998555	147
54,9593764	150
54,99876725	114
55,03815809	158
55,07754894	145
55,11693979	152
55,15633063	166
55,19572148	145
55,23511233	147
55,27450317	149
55,31389402	147
55,35328487	148
55,39267571	139
55,43206656	135
55,47145741	153
55,51084825	119
55,5502391	140
55,58962995	144
55,62902079	140
55,66841164	159
55,70780249	149
55,74719333	156
55,78658418	146
55,82597503	150
55,86536587	139
55,90475672	147
55,94414757	152
55,98353841	148
56,02292926	160
56,06232011	144
56,10171095	160
56,1411018	151
56,18049264	143
56,21988349	153
56,25927434	196
56,29866518	246
56,33805603	296
56,37744688	593
56,41683772	801
56,45622857	905
56,49561942	1018
56,53501026	1229
56,57440111	1342
56,61379196	1283
56,6531828	890
56,69257365	692
56,7319645	600
56,77135534	505
56,81074619	322
56,85013704	215
56,88952788	173
56,92891873	158
56,96830958	133
57,00770042	143
57,04709127	122
57,08648212	164
57,12587296	163
57,16526381	148
57,20465466	138
57,2440455	141
57,28343635	139
57,3228272	145
57,36221804	149
57,40160889	149
57,44099974	144
57,48039058	136
57,51978143	124
57,55917228	151
57,59856312	121
57,63795397	139
57,67734482	133
57,71673566	148
57,75612651	120
57,79551736	142
57,8349082	154
57,87429905	126
57,9136899	141
57,95308074	145
57,99247159	141
58,03186244	145
58,07125328	123
58,11064413	143
58,15003498	141
58,18942582	129
58,22881667	145
58,26820752	118
58,30759836	125
58,34698921	150
58,38638006	115
58,4257709	133
58,46516175	133
58,5045526	132
58,54394344	165
58,58333429	117
58,62272514	116
58,66211598	109
58,70150683	145
58,74089768	139
58,78028852	130
58,81967937	107
58,85907022	148
58,89846106	132
58,93785191	127
58,97724276	122
59,0166336	150
59,05602445	141
59,0954153	130
59,13480614	159
59,17419699	112
59,21358784	142
59,25297868	144
59,29236953	136
59,33176038	122
59,37115122	158
59,41054207	110
59,44993292	134
59,48932376	120
59,52871461	124
59,56810546	114
59,6074963	142
59,64688715	113
59,686278	147
59,72566884	134
59,76505969	124
59,80445054	130
59,84384138	130
59,88323223	147
59,92262308	150
59,96201392	108
60,00140477	130
60,04079562	129
60,08018646	128
60,11957731	145
60,15896816	124
60,198359	116
60,23774985	142
60,2771407	152
60,31653154	151
60,35592239	144
60,39531324	132
60,43470408	125
60,47409493	136
60,51348578	125
60,55287662	135
60,59226747	110
60,63165832	145
60,67104916	115
60,71044001	148
60,74983086	130
60,7892217	123
60,82861255	124
60,8680034	119
60,90739424	124
60,94678509	105
60,98617594	118
61,02556678	126
61,06495763	122
61,10434848	99
61,14373932	121
61,18313017	130
61,22252102	131
61,26191186	128
61,30130271	125
61,34069356	136
61,3800844	138
61,41947525	107
61,4588661	127
61,49825694	128
61,53764779	160
61,57703864	105
61,61642948	118
61,65582033	126
61,69521118	168
61,73460202	135
61,77399287	121
61,81338372	139
61,85277456	105
61,89216541	103
61,93155626	106
61,9709471	102
62,01033795	121
62,0497288	113
62,08911964	125
62,12851049	124
62,16790134	133
62,20729218	141
62,24668303	99
62,28607388	144
62,32546472	126
62,36485557	132
62,40424642	141
62,44363726	110
62,48302811	111
62,52241896	148
62,5618098	130
62,60120065	131
62,6405915	101
62,67998234	97
62,71937319	116
62,75876404	127
62,79815488	134
62,83754573	105
62,87693658	104
62,91632742	134
62,95571827	109
62,99510912	129
63,03449996	147
63,07389081	127
63,11328166	95
63,1526725	136
63,19206335	112
63,2314542	125
63,27084504	132
63,31023589	126
63,34962674	138
63,38901758	124
63,42840843	133
63,46779928	113
63,50719012	121
63,54658097	116
63,58597182	127
63,62536266	130
63,66475351	144
63,70414436	145
63,7435352	145
63,78292605	132
63,8223169	142
63,86170774	137
63,90109859	117
63,94048943	145
63,97988028	145
64,01927113	92
64,05866197	124
64,09805282	128
64,13744367	135
64,17683451	122
64,21622536	144
64,25561621	142
64,29500705	139
64,3343979	124
64,37378875	119
64,41317959	127
64,45257044	135
64,49196129	128
64,53135213	123
64,57074298	151
64,61013383	140
64,64952467	109
64,68891552	123
64,72830637	155
64,76769721	126
64,80708806	126
64,84647891	131
64,88586975	155
64,9252606	124
64,96465145	148
65,00404229	150
65,04343314	142
65,08282399	144
65,12221483	122
65,16160568	130
65,20099653	158
65,24038737	143
65,27977822	147
65,31916907	128
65,35855991	155
65,39795076	129
65,43734161	136
65,47673245	129
65,5161233	169
65,55551415	155
65,59490499	141
65,63429584	148
65,67368669	200
65,71307753	173
65,75246838	164
65,79185923	182
65,83125007	165
65,87064092	187
65,91003177	213
65,94942261	281
65,98881346	394
66,02820431	609
66,06759515	897
66,106986	1641
66,14637685	1942
66,18576769	1893
66,22515854	1762
66,26454939	1614
66,30394023	1837
66,34333108	2384
66,38272193	2254
66,42211277	1593
66,46150362	868
66,50089447	784
66,54028531	908
66,57967616	791
66,61906701	467
66,65845785	260
66,6978487	198
66,73723955	193
66,77663039	173
66,81602124	175
66,85541209	174
66,89480293	172
66,93419378	138
66,97358463	178
67,01297547	153
67,05236632	154
67,09175717	145
67,13114801	155
67,17053886	148
67,20992971	138
67,24932055	132
67,2887114	136
67,32810225	149
67,36749309	151
67,40688394	137
67,44627479	130
67,48566563	126
67,52505648	135
67,56444733	154
67,60383817	119
67,64322902	125
67,68261987	131
67,72201071	103
67,76140156	129
67,80079241	125
67,84018325	121
67,8795741	120
67,91896495	125
67,95835579	139
67,99774664	120
68,03713749	117
68,07652833	147
68,11591918	148
68,15531003	131
68,19470087	132
68,23409172	125
68,27348257	105
68,31287341	125
68,35226426	130
68,39165511	137
68,43104595	136
68,4704368	121
68,50982765	124
68,54921849	120
68,58860934	126
68,62800019	143
68,66739103	132
68,70678188	113
68,74617273	113
68,78556357	128
68,82495442	124
68,86434527	130
68,90373611	121
68,94312696	129
68,98251781	127
69,02190865	136
69,0612995	136
69,10069035	124
69,14008119	128
69,17947204	134
69,21886289	127
69,25825373	125
69,29764458	112
69,33703543	126
69,37642627	123
69,41581712	98
69,45520797	142
69,49459881	126
69,53398966	134
69,57338051	132
69,61277135	122
69,6521622	102
69,69155305	128
69,73094389	114
69,77033474	113
69,80972559	124
69,84911643	96
69,88850728	106
69,92789813	107
69,96728897	103
70,00667982	117
70,04607067	119
70,08546151	112
70,12485236	109
70,16424321	124
70,20363405	125
70,2430249	113
70,28241575	112
70,32180659	126
70,36119744	128
70,40058829	110
70,43997913	113
70,47936998	105
70,51876083	122
70,55815167	92
70,59754252	109
70,63693337	110
70,67632421	124
70,71571506	100
70,75510591	120
70,79449675	120
70,8338876	122
70,87327845	88
70,91266929	107
70,95206014	97
70,99145099	97
71,03084183	120
71,07023268	135
71,10962353	120
71,14901437	108
71,18840522	102
71,22779607	122
71,26718691	118
71,30657776	103
71,34596861	101
71,38535945	104
71,4247503	115
71,46414115	115
71,50353199	107
71,54292284	108
71,58231369	106
71,62170453	118
71,66109538	122
71,70048623	118
