2Theta	Intensidade
45,6184707	112
45,65786154	126
45,69725239	111
45,73664324	86
45,77603408	91
45,81542493	102
45,85481578	100
45,89420662	81
45,93359747	101
45,97298832	90
46,01237916	86
46,05177001	91
46,09116086	111
46,1305517	86
46,16994255	82
46,2093334	100
46,24872424	89
46,28811509	96
46,32750594	93
46,36689678	96
46,40628763	87
46,44567848	107
46,48506932	101
46,52446017	90
46,56385102	91
46,60324186	77
46,64263271	85
46,68202356	82
46,7214144	85
46,76080525	82
46,8001961	78
46,83958694	82
46,87897779	97
46,91836864	93
46,95775948	84
46,99715033	94
47,03654118	78
47,07593202	93
47,11532287	97
47,15471372	74
47,19410456	98
47,23349541	84
47,27288626	80
47,3122771	82
47,35166795	72
47,3910588	114
47,43044964	77
47,46984049	81
47,50923134	108
47,54862218	87
47,58801303	84
47,62740388	98
47,66679472	81
47,70618557	86
47,74557642	86
47,78496726	69
47,82435811	94
47,86374896	80
47,9031398	93
47,94253065	64
47,9819215	88
48,02131234	84
48,06070319	96
48,10009404	109
48,13948488	89
48,17887573	78
48,21826658	75
48,25765742	96
48,29704827	67
48,33643912	74
48,37582996	71
48,41522081	60
48,45461166	82
48,4940025	70
48,53339335	71
48,5727842	102
48,61217504	79
48,65156589	86
48,69095674	84
48,73034758	64
48,76973843	82
48,80912928	80
48,84852012	69
48,88791097	86
48,92730182	66
48,96669266	70
49,00608351	71
49,04547436	80
49,0848652	61
49,12425605	75
49,1636469	77
49,20303774	70
49,24242859	81
49,28181944	88
49,32121028	57
49,36060113	66
49,39999198	67
49,43938282	72
49,47877367	72
49,51816452	66
49,55755536	59
49,59694621	55
49,63633706	88
49,6757279	77
49,71511875	72
49,7545096	85
49,79390044	75
49,83329129	48
49,87268213	68
49,91207298	67
49,95146383	55
49,99085467	61
50,03024552	71
50,06963637	69
50,10902721	66
50,14841806	67
50,18780891	74
50,22719975	77
50,2665906	67
50,30598145	66
50,34537229	66
50,38476314	74
50,42415399	68
50,46354483	66
50,50293568	74
50,54232653	59
50,58171737	69
50,62110822	51
50,66049907	57
50,69988991	59
50,73928076	48
50,77867161	57
50,81806245	55
50,8574533	53
50,89684415	58
50,93623499	69
50,97562584	62
51,01501669	59
51,05440753	75
51,09379838	58
51,13318923	55
51,17258007	58
51,21197092	76
51,25136177	59
51,29075261	58
51,33014346	61
51,36953431	52
51,40892515	63
51,448316	71
51,48770685	61
51,52709769	51
51,56648854	70
51,60587939	52
51,64527023	49
51,68466108	53
51,72405193	70
51,76344277	59
51,80283362	68
51,84222447	51
51,88161531	47
51,92100616	74
51,96039701	59
51,99978785	62
52,0391787	62
52,07856955	81
52,11796039	68
52,15735124	53
52,19674209	55
52,23613293	57
52,27552378	55
52,31491463	51
52,35430547	65
52,39369632	57
52,43308717	74
52,47247801	47
52,51186886	59
52,55125971	53
52,59065055	60
