2Theta	Intensidade
30,49109572	185
30,51735628	234
30,54361685	179
30,56987741	195
30,59613798	220
30,62239854	170
30,64865911	199
30,67491967	203
30,70118024	195
30,7274408	201
30,75370137	199
30,77996193	217
30,8062225	197
30,83248306	218
30,85874363	209
30,88500419	209
30,91126476	157
30,93752532	203
30,96378589	201
30,99004645	169
31,01630702	200
31,04256758	166
31,06882815	198
31,09508871	193
31,12134928	183
31,14760984	205
31,17387041	191
31,20013097	182
31,22639154	189
31,2526521	164
31,27891267	191
31,30517323	200
31,3314338	231
31,35769436	171
31,38395493	178
31,41021549	197
31,43647606	196
31,46273662	210
31,48899719	261
31,51525775	246
31,54151832	242
31,56777888	292
31,59403945	355
31,62030001	386
31,64656058	347
31,67282114	387
31,69908171	394
31,72534227	357
31,75160284	293
31,7778634	256
31,80412397	214
31,83038453	214
31,8566451	221
31,88290566	175
31,90916623	168
31,93542679	213
31,96168736	155
31,98794792	191
32,01420849	180
32,04046905	159
32,06672962	189
32,09299018	166
32,11925075	152
32,14551131	177
32,17177188	184
32,19803244	168
32,22429301	184
32,25055357	179
32,27681414	169
32,3030747	155
32,32933527	190
32,35559583	185
32,3818564	160
32,40811696	180
32,43437753	192
32,46063809	187
32,48689866	185
32,51315922	170
32,53941979	158
32,56568035	147
32,59194092	194
32,61820149	182
32,64446205	180
32,67072262	161
32,69698318	185
32,72324375	178
32,74950431	181
32,77576488	178
32,80202544	160
32,82828601	175
32,85454657	180
32,88080714	185
32,9070677	158
32,93332827	176
32,95958883	165
32,9858494	181
33,01210996	177
33,03837053	162
33,06463109	178
33,09089166	179
33,11715222	146
33,14341279	150
33,16967335	195
33,19593392	157
33,22219448	188
33,24845505	179
33,27471561	178
33,30097618	169
33,32723674	161
33,35349731	153
33,37975787	152
33,40601844	153
33,432279	154
33,45853957	173
33,48480013	173
33,5110607	192
33,53732126	177
33,56358183	179
33,58984239	140
33,61610296	183
33,64236352	170
33,66862409	181
33,69488465	139
33,72114522	148
33,74740578	161
33,77366635	176
33,79992691	149
33,82618748	165
33,85244804	154
33,87870861	161
33,90496917	167
33,93122974	179
33,9574903	177
33,98375087	168
34,01001143	191
34,036272	165
34,06253256	153
34,08879313	163
34,11505369	171
34,14131426	170
34,16757482	158
34,19383539	159
34,22009595	159
34,24635652	182
34,27261708	156
34,29887765	152
34,32513821	151
34,35139878	159
34,37765934	173
34,40391991	162
34,43018047	174
34,45644104	147
34,4827016	190
34,50896217	164
34,53522273	160
34,5614833	139
34,58774386	157
34,61400443	139
34,64026499	166
34,66652556	137
34,69278612	164
34,71904669	165
34,74530725	152
34,77156782	161
34,79782838	166
34,82408895	132
34,85034951	167
34,87661008	149
34,90287064	136
34,92913121	155
34,95539177	163
34,98165234	158
35,0079129	154
35,03417347	166
35,06043403	146
35,0866946	152
35,11295516	138
35,13921573	157
35,16547629	134
35,19173686	146
35,21799742	179
35,24425799	162
35,27051855	148
35,29677912	141
35,32303968	171
35,34930025	162
35,37556081	147
35,40182138	178
35,42808194	154
35,45434251	137
35,48060307	159
35,50686364	150
35,5331242	129
35,55938477	161
35,58564533	146
35,6119059	156
35,63816646	162
35,66442703	150
35,69068759	149
35,71694816	158
35,74320872	146
35,76946929	156
35,79572985	145
35,82199042	161
35,84825098	149
35,87451155	139
35,90077211	152
35,92703268	122
35,95329324	165
35,97955381	153
36,00581437	159
36,03207494	125
36,0583355	161
36,08459607	135
36,11085663	138
36,1371172	134
36,16337776	138
36,18963833	140
36,21589889	159
36,24215946	138
36,26842002	138
36,29468059	142
36,32094115	136
36,34720172	124
36,37346228	151
36,39972285	132
36,42598341	152
36,45224398	160
36,47850454	129
36,50476511	156
36,53102567	155
36,55728624	144
36,5835468	148
36,60980737	154
36,63606793	128
36,6623285	143
36,68858906	139
36,71484963	148
36,74111019	141
36,76737076	125
36,79363132	142
36,81989189	141
36,84615245	139
36,87241302	151
36,89867358	132
36,92493415	149
36,95119471	120
36,97745528	144
37,00371584	122
37,02997641	131
37,05623697	142
37,08249754	121
37,1087581	114
37,13501867	119
37,16127923	161
37,1875398	139
37,21380036	135
37,24006093	149
37,26632149	127
37,29258206	128
37,31884262	132
37,34510319	153
37,37136375	144
37,39762432	127
37,42388488	157
37,45014545	130
37,47640601	137
37,50266658	133
37,52892714	126
37,55518771	144
37,58144827	150
37,60770884	144
37,6339694	140
37,66022997	133
37,68649053	126
37,7127511	140
37,73901166	133
37,76527223	132
37,79153279	132
37,81779336	115
37,84405392	118
37,87031449	123
37,89657505	126
37,92283562	140
37,94909618	135
37,97535675	139
38,00161731	152
38,02787788	152
38,05413844	127
38,08039901	126
38,10665957	135
38,13292014	111
38,1591807	147
38,18544127	146
38,21170183	127
38,2379624	133
38,26422296	145
38,29048353	131
38,31674409	124
38,34300466	135
38,36926522	149
38,39552579	135
38,42178635	141
38,44804692	140
38,47430748	131
38,50056805	146
38,52682861	124
38,55308918	134
38,57934974	148
38,60561031	127
38,63187087	167
38,65813144	118
38,684392	136
38,71065257	130
38,73691313	131
38,7631737	139
38,78943426	103
38,81569483	140
38,84195539	136
38,86821596	134
38,89447652	139
38,92073709	126
38,94699765	128
38,97325822	135
38,99951878	138
39,02577935	133
39,05203991	123
39,07830048	149
39,10456104	141
39,13082161	132
39,15708217	132
39,18334274	134
39,2096033	156
39,23586387	134
39,26212443	135
39,288385	130
39,31464556	120
39,34090613	140
39,36716669	134
39,39342726	116
39,41968782	104
39,44594839	130
39,47220895	123
39,49846952	159
39,52473008	129
39,55099065	134
39,57725121	123
39,60351178	153
39,62977234	129
39,65603291	120
39,68229347	143
39,70855404	112
39,7348146	130
39,76107517	129
39,78733573	114
39,8135963	128
39,83985686	131
39,86611743	139
39,89237799	128
39,91863856	149
39,94489912	137
39,97115969	136
39,99742025	135
40,02368082	124
40,04994138	127
40,07620195	117
40,10246251	138
40,12872308	142
40,15498364	133
40,18124421	140
40,20750477	187
40,23376534	201
40,2600259	242
40,28628647	257
40,31254703	285
40,3388076	301
40,36506816	352
40,39132873	411
40,41758929	490
40,44384986	501
40,47011042	612
40,49637099	595
40,52263155	550
40,54889212	476
40,57515268	416
40,60141325	376
40,62767381	308
40,65393438	255
40,68019494	221
40,70645551	177
40,73271607	141
40,75897664	173
40,7852372	139
40,81149777	126
40,83775833	124
40,8640189	120
40,89027946	136
40,91654003	122
40,94280059	128
40,96906116	151
40,99532172	100
41,02158229	132
41,04784285	142
41,07410342	116
41,10036398	134
41,12662455	144
41,15288511	128
41,17914568	127
41,20540624	123
41,23166681	115
41,25792737	98
41,28418794	103
41,3104485	111
41,33670907	119
41,36296963	133
41,3892302	118
41,41549076	109
41,44175133	127
41,46801189	118
41,49427246	123
41,52053302	109
41,54679359	109
41,57305415	116
41,59931472	139
41,62557528	128
41,65183585	120
41,67809641	146
41,70435698	129
41,73061754	134
41,75687811	130
41,78313867	98
41,80939924	118
41,8356598	120
41,86192037	117
41,88818093	127
41,9144415	130
41,94070206	113
41,96696263	116
41,99322319	163
42,01948376	122
42,04574432	132
42,07200489	116
42,09826545	118
42,12452602	138
42,15078658	124
42,17704715	110
42,20330771	106
42,22956828	120
42,25582884	122
42,28208941	112
42,30834997	142
42,33461054	121
42,3608711	119
42,38713167	126
42,41339223	120
42,4396528	125
42,46591336	125
42,49217393	134
42,51843449	110
42,54469506	111
42,57095562	142
42,59721619	132
42,62347675	104
42,64973732	111
42,67599788	119
42,70225845	124
42,72851901	119
42,75477958	102
42,78104014	127
42,80730071	110
42,83356127	109
42,85982184	111
42,8860824	119
42,91234297	127
42,93860353	89
42,9648641	144
42,99112466	147
43,01738523	121
43,04364579	97
43,06990636	115
43,09616692	108
43,12242749	131
43,14868805	156
43,17494862	121
43,20120918	112
43,22746975	107
43,25373031	113
43,27999088	104
43,30625144	129
43,33251201	115
43,35877257	105
43,38503314	131
43,4112937	113
43,43755427	108
43,46381483	117
43,4900754	91
43,51633596	140
43,54259653	121
43,56885709	115
43,59511766	122
43,62137822	118
43,64763879	111
43,67389935	111
43,70015992	98
43,72642048	99
43,75268105	112
43,77894161	120
43,80520218	97
43,83146274	98
43,85772331	134
43,88398387	100
43,91024444	123
43,936505	106
43,96276557	104
43,98902613	128
44,0152867	142
44,04154726	105
44,06780783	99
44,09406839	114
44,12032896	120
44,14658952	97
44,17285009	96
44,19911065	122
44,22537122	105
44,25163178	105
44,27789235	110
44,30415291	115
44,33041348	124
44,35667404	96
44,38293461	116
44,40919517	97
44,43545574	110
44,4617163	130
44,48797687	120
44,51423743	127
44,540498	116
44,56675856	101
44,59301913	96
44,61927969	93
44,64554026	97
44,67180082	111
44,69806139	127
44,72432195	127
44,75058252	107
44,77684308	115
44,80310365	120
44,82936421	134
44,85562478	124
44,88188534	124
44,90814591	108
44,93440647	115
44,96066704	124
44,9869276	110
45,01318817	122
45,03944873	103
45,0657093	127
45,09196986	144
45,11823043	132
45,14449099	121
45,17075156	156
45,19701212	223
45,22327269	251
45,24953325	275
45,27579382	353
45,30205438	372
45,32831495	424
45,35457551	413
45,38083608	439
45,40709664	422
