2Theta	Intensidade
44,01144598	1125
44,05083683	1117
44,09022768	1103
44,12961852	1057
44,16900937	1137
44,20840022	1111
44,24779106	1091
44,28718191	1081
44,32657276	1094
44,3659636	1013
44,40535445	1054
44,4447453	1034
44,48413614	1095
44,52352699	1057
44,56291784	1103
44,60230868	986
44,64169953	1024
44,68109038	1018
44,72048122	1031
44,75987207	1001
44,79926292	1079
44,83865376	1018
44,87804461	985
44,91743546	960
44,9568263	1015
44,99621715	1068
45,035608	1080
45,07499884	1057
45,11438969	1038
45,15378054	1005
45,19317138	1004
45,23256223	1039
45,27195308	1054
45,31134392	991
45,35073477	1019
45,39012562	1008
45,42951646	1061
45,46890731	1087
45,50829816	1020
45,547689	1021
45,58707985	1071
45,6264707	998
45,66586154	974
45,70525239	1082
45,74464324	1055
45,78403408	1164
45,82342493	1093
45,86281578	1050
45,90220662	1081
45,94159747	1080
45,98098832	1078
46,02037916	1027
46,05977001	1004
46,09916086	976
46,1385517	1058
46,17794255	995
46,2173334	1006
46,25672424	1054
46,29611509	968
46,33550594	989
46,37489678	1073
46,41428763	1051
46,45367848	992
46,49306932	879
46,53246017	959
46,57185102	1042
46,61124186	1026
46,65063271	957
46,69002356	1067
46,7294144	1003
46,76880525	1062
46,8081961	1000
46,84758694	1031
46,88697779	1073
46,92636864	986
46,96575948	1019
47,00515033	1018
47,04454118	1099
47,08393202	1042
47,12332287	1041
47,16271372	941
47,20210456	1076
47,24149541	1025
47,28088626	985
47,3202771	985
47,35966795	1087
47,3990588	984
47,43844964	1033
47,47784049	1056
47,51723134	1058
47,55662218	1004
47,59601303	954
47,63540388	980
47,67479472	1150
47,71418557	1043
47,75357642	1011
47,79296726	1044
47,83235811	1001
47,87174896	1017
47,9111398	925
47,95053065	986
47,9899215	1020
48,02931234	976
48,06870319	1034
48,10809404	976
48,14748488	1000
48,18687573	933
48,22626658	964
48,26565742	959
48,30504827	952
48,34443912	982
48,38382996	919
48,42322081	961
48,46261166	984
48,5020025	957
48,54139335	1076
48,5807842	964
48,62017504	932
48,65956589	969
48,69895674	992
48,73834758	986
48,77773843	971
48,81712928	997
48,85652012	1014
48,89591097	990
48,93530182	989
48,97469266	1034
49,01408351	940
49,05347436	1021
49,0928652	969
49,13225605	963
49,1716469	948
49,21103774	1014
49,25042859	980
49,28981944	926
49,32921028	1003
49,36860113	968
49,40799198	923
49,44738282	964
49,48677367	1021
49,52616452	994
49,56555536	982
49,60494621	981
49,64433706	936
49,6837279	960
49,72311875	958
49,7625096	1004
49,80190044	1018
49,84129129	984
49,88068213	979
49,92007298	936
49,95946383	943
49,99885467	1021
50,03824552	905
50,07763637	890
50,11702721	865
50,15641806	996
50,19580891	920
50,23519975	947
50,2745906	1031
50,31398145	976
50,35337229	993
50,39276314	1025
50,43215399	980
50,47154483	949
50,51093568	953
50,55032653	940
50,58971737	971
50,62910822	936
50,66849907	973
50,70788991	1005
50,74728076	1032
50,78667161	953
50,82606245	1030
50,8654533	989
50,90484415	951
50,94423499	987
50,98362584	945
51,02301669	1018
51,06240753	960
51,10179838	973
51,14118923	965
51,18058007	967
51,21997092	962
51,25936177	953
51,29875261	1028
51,33814346	987
51,37753431	947
51,41692515	992
51,456316	960
51,49570685	958
51,53509769	935
51,57448854	1008
51,61387939	977
51,65327023	969
51,69266108	929
51,73205193	973
51,77144277	1000
51,81083362	945
51,85022447	988
51,88961531	952
51,92900616	944
51,96839701	1046
52,00778785	912
52,0471787	909
52,08656955	860
