Dureza HRF;Deformação
25;10
29;20
35;30
43;40
48;50
27.44948974;10
32.67423461;20
36.22474487;30
45.44948974;40
49.22474487;50
22.55051026;10
25.32576539;20
33.77525513;30
40.55051026;40
46.77525513;50
