index;Load(kN);Defor(mm);Stroke(mm);Time(s)
169;1.72;0.8262;0.826;10.135
170;1.72;0.8312;0.831;10.195
171;1.72;0.8363;0.836;10.255
172;1.72;0.8413;0.841;10.315
173;1.74;0.8462;0.846;10.375
174;1.74;0.8512;0.851;10.435
175;1.74;0.8562;0.856;10.495
176;1.74;0.8612;0.861;10.555
177;1.76;0.8675;0.868;10.615
178;1.76;0.8725;0.873;10.675
179;1.76;0.8775;0.877;10.735
180;1.78;0.8825;0.882;10.795
181;1.78;0.8875;0.887;10.855
182;1.78;0.8912;0.891;10.915
183;1.78;0.8975;0.897;10.975
184;1.8;0.9013;0.901;11.035
185;1.8;0.9062;0.906;11.095
186;1.8;0.9112;0.911;11.155
187;1.8;0.9162;0.916;11.215
188;1.82;0.9212;0.921;11.275
189;1.82;0.9262;0.926;11.335
190;1.82;0.9312;0.931;11.395
191;1.82;0.9362;0.936;11.455
192;1.84;0.9412;0.941;11.515
193;1.84;0.9462;0.946;11.575
194;1.84;0.9512;0.951;11.635
195;1.84;0.9562;0.956;11.695
196;1.86;0.9613;0.961;11.755
197;1.86;0.9663;0.966;11.815
198;1.86;0.9712;0.971;11.875
199;1.86;0.9762;0.976;11.935
200;1.88;0.9812;0.981;11.995
201;1.88;0.9862;0.986;12.055
202;1.88;0.9912;0.991;12.115
203;1.88;0.9962;0.996;12.175
204;1.9;1.0013;1.001;12.235
205;1.9;1.0063;1.006;12.295
206;1.9;1.0113;1.011;12.355
207;1.9;1.0163;1.016;12.415
208;1.92;1.0213;1.021;12.475
209;1.92;1.0263;1.026;12.535
210;1.94;1.0312;1.031;12.595
211;1.94;1.0362;1.036;12.655
212;1.94;1.0412;1.041;12.715
213;1.94;1.0462;1.046;12.775
214;1.96;1.0512;1.051;12.835
215;1.96;1.0562;1.056;12.895
216;1.98;1.0612;1.061;12.955
217;1.98;1.0662;1.066;13.015
218;1.98;1.0712;1.071;13.075
219;2;1.0762;1.076;13.135
220;2;1.0812;1.081;13.195
221;2;1.0862;1.086;13.255
222;2.02;1.0912;1.091;13.315
223;2.02;1.0962;1.096;13.375
224;2.02;1.1012;1.101;13.435
225;2.04;1.1062;1.106;13.495
226;2.04;1.1112;1.111;13.555
227;2.04;1.1162;1.116;13.615
228;2.06;1.1213;1.121;13.675
229;2.06;1.1263;1.126;13.735
230;2.06;1.1313;1.131;13.795
231;2.08;1.1363;1.136;13.855
232;2.08;1.1413;1.141;13.915
233;2.08;1.1463;1.146;13.975
234;2.1;1.1513;1.151;14.035
235;2.1;1.1562;1.156;14.095
236;2.12;1.1612;1.161;14.155
237;2.12;1.1662;1.166;14.215
238;2.12;1.1712;1.171;14.275
239;2.14;1.1762;1.176;14.335
240;2.14;1.1812;1.181;14.395
241;2.14;1.1862;1.186;14.455
242;2.16;1.1912;1.191;14.515
243;2.16;1.1962;1.196;14.575
244;2.16;1.2012;1.201;14.635
245;2.18;1.2062;1.206;14.695
246;2.18;1.2112;1.211;14.755
247;2.18;1.2162;1.216;14.815
248;2.2;1.2212;1.221;14.875
249;2.2;1.2262;1.226;14.935
250;2.2;1.2312;1.231;14.995
251;2.22;1.2362;1.236;15.055
252;2.22;1.2412;1.241;15.115
253;2.24;1.2475;1.247;15.175
254;2.24;1.2525;1.252;15.235
255;2.24;1.2575;1.257;15.295
256;2.26;1.2625;1.262;15.355
257;2.26;1.2675;1.267;15.415
258;2.26;1.2725;1.272;15.475
259;2.28;1.2775;1.277;15.535
260;2.28;1.2825;1.283;15.595
261;2.28;1.2875;1.288;15.655
262;2.3;1.2925;1.293;15.715
263;2.3;1.2975;1.298;15.775
264;2.3;1.3025;1.303;15.835
265;2.3;1.3075;1.308;15.895
266;2.3;1.3125;1.312;15.955
267;2.32;1.3175;1.317;16.015
268;2.32;1.3225;1.322;16.075
269;2.32;1.3275;1.327;16.135
270;2.34;1.3325;1.332;16.195
271;2.34;1.3375;1.337;16.255
272;2.34;1.3425;1.342;16.315
273;2.36;1.3475;1.347;16.375
274;2.36;1.3525;1.352;16.435
275;2.36;1.3575;1.357;16.495
276;2.38;1.3612;1.361;16.555
277;2.38;1.3675;1.367;16.615
278;2.38;1.3725;1.372;16.675
279;2.4;1.3775;1.377;16.735
280;2.4;1.3825;1.382;16.795
281;2.4;1.3875;1.387;16.855
282;2.42;1.3925;1.392;16.915
283;2.42;1.3975;1.397;16.975
284;2.42;1.4025;1.402;17.035
285;2.44;1.4075;1.407;17.095
286;2.44;1.4125;1.413;17.155
287;2.44;1.4175;1.418;17.215
288;2.44;1.4225;1.423;17.275
289;2.46;1.4275;1.428;17.335
290;2.46;1.4325;1.433;17.395
291;2.48;1.4375;1.438;17.455
292;2.48;1.4425;1.442;17.515
293;2.48;1.4475;1.447;17.575
294;2.5;1.4525;1.452;17.635
295;2.5;1.4575;1.457;17.695
296;2.52;1.4625;1.462;17.755
297;2.52;1.4675;1.467;17.815
298;2.52;1.4725;1.472;17.875
299;2.54;1.4775;1.477;17.935
300;2.54;1.4825;1.482;17.995
301;2.54;1.4875;1.487;18.055
302;2.56;1.4925;1.492;18.115
303;2.56;1.4975;1.497;18.175
304;2.56;1.5025;1.502;18.235
305;2.58;1.5075;1.507;18.295
306;2.58;1.5125;1.512;18.355
307;2.58;1.5175;1.517;18.415
308;2.6;1.5225;1.522;18.475
309;2.6;1.5275;1.527;18.535
310;2.6;1.5325;1.532;18.595
311;2.62;1.5375;1.538;18.655
312;2.62;1.5425;1.543;18.715
313;2.62;1.5475;1.548;18.775
314;2.64;1.5525;1.553;18.835
315;2.64;1.5575;1.558;18.895
316;2.64;1.5625;1.562;18.955
317;2.66;1.5675;1.567;19.015
318;2.66;1.5725;1.572;19.075
319;2.68;1.5775;1.577;19.135
320;2.68;1.5825;1.582;19.195
321;2.7;1.5875;1.587;19.255
322;2.7;1.5925;1.592;19.315
323;2.7;1.5975;1.597;19.375
324;2.72;1.6025;1.602;19.435
