0
Diameter:	   8.10
   1.00
Area:	  51.5300
GaugeLength:	  50.00
2009-1-1
al envelhecido
001
DataNumber:	2600
index	Load(kN)	Defor(mm)	Stroke(mm)	Time(s)
  888	 16.3200	  1.0826	   4.427	  53.275
  889	 16.3200	  1.0876	   4.432	  53.335
  890	 16.3200	  1.0926	   4.438	  53.395
  891	 16.3200	  1.0976	   4.443	  53.455
  892	 16.3200	  1.1026	   4.447	  53.515
  893	 16.3200	  1.1076	   4.452	  53.575
  894	 16.3200	  1.1114	   4.456	  53.635
  895	 16.3200	  1.1176	   4.463	  53.695
  896	 16.3200	  1.1214	   4.466	  53.755
  897	 16.3400	  1.1276	   4.472	  53.815
  898	 16.3400	  1.1326	   4.477	  53.875
  899	 16.3400	  1.1376	   4.483	  53.935
  900	 16.3400	  1.1426	   4.487	  53.995
  901	 16.3400	  1.1476	   4.492	  54.055
  902	 16.3400	  1.1526	   4.497	  54.115
  903	 16.3400	  1.1576	   4.503	  54.175
  904	 16.3400	  1.1626	   4.507	  54.235
  905	 16.3400	  1.1676	   4.512	  54.295
  906	 16.3400	  1.1726	   4.517	  54.355
  907	 16.3400	  1.1776	   4.523	  54.415
  908	 16.3400	  1.1826	   4.527	  54.475
  909	 16.3600	  1.1876	   4.532	  54.535
  910	 16.3600	  1.1926	   4.537	  54.595
  911	 16.3600	  1.1976	   4.543	  54.655
  912	 16.3600	  1.2026	   4.548	  54.715
  913	 16.3600	  1.2076	   4.552	  54.775
  914	 16.3600	  1.2126	   4.557	  54.835
  915	 16.3600	  1.2176	   4.562	  54.895
  916	 16.3600	  1.2226	   4.568	  54.955
  917	 16.3600	  1.2276	   4.572	  55.015
  918	 16.3600	  1.2326	   4.577	  55.075
  919	 16.3800	  1.2376	   4.582	  55.135
  920	 16.3800	  1.2426	   4.588	  55.195
  921	 16.3800	  1.2476	   4.592	  55.255
  922	 16.3800	  1.2526	   4.597	  55.315
  923	 16.3800	  1.2576	   4.602	  55.375
  924	 16.3800	  1.2626	   4.608	  55.435
  925	 16.3800	  1.2676	   4.612	  55.495
  926	 16.3800	  1.2726	   4.617	  55.555
  927	 16.3800	  1.2776	   4.622	  55.615
  928	 16.3800	  1.2826	   4.628	  55.675
  929	 16.3800	  1.2876	   4.632	  55.735
  930	 16.3800	  1.2926	   4.637	  55.795
  931	 16.3800	  1.2976	   4.642	  55.855
  932	 16.3800	  1.3026	   4.648	  55.915
  933	 16.4000	  1.3076	   4.652	  55.975
  934	 16.4000	  1.3126	   4.657	  56.035
  935	 16.4000	  1.3176	   4.662	  56.095
  936	 16.4000	  1.3226	   4.668	  56.155
  937	 16.4000	  1.3276	   4.673	  56.215
  938	 16.4000	  1.3326	   4.677	  56.275
  939	 16.4000	  1.3376	   4.682	  56.335
  940	 16.4000	  1.3426	   4.688	  56.395
  941	 16.4000	  1.3476	   4.693	  56.455
  942	 16.4000	  1.3526	   4.697	  56.515
  943	 16.4000	  1.3576	   4.702	  56.575
  944	 16.4000	  1.3626	   4.707	  56.635
  945	 16.4200	  1.3676	   4.713	  56.695
  946	 16.4000	  1.3726	   4.717	  56.755
  947	 16.4200	  1.3776	   4.722	  56.815
  948	 16.4000	  1.3801	   4.725	  56.875
  949	 16.3400	  1.3801	   4.725	  56.935
  950	 16.2800	  1.3814	   4.726	  56.995
  951	 16.2400	  1.3814	   4.726	  57.055
  952	 16.2000	  1.3814	   4.726	  57.115
  953	 16.1800	  1.3814	   4.726	  57.175
  954	 16.1400	  1.3814	   4.726	  57.235
  955	 16.1200	  1.3814	   4.726	  57.295
  956	 16.1000	  1.3814	   4.726	  57.355
  957	 16.0800	  1.3814	   4.726	  57.415
  958	 16.0600	  1.3814	   4.726	  57.475
  959	 16.0600	  1.3814	   4.726	  57.535
  960	 16.0400	  1.3814	   4.726	  57.595
  961	 16.0200	  1.3814	   4.726	  57.655
  962	 16.0200	  1.3814	   4.726	  57.715
  963	 16.0000	  1.3814	   4.726	  57.775
  964	 16.0000	  1.3814	   4.726	  57.835
  965	 15.9800	  1.3814	   4.726	  57.895
  966	 15.9800	  1.3814	   4.726	  57.955
  967	 15.9600	  1.3814	   4.726	  58.015
  968	 15.9600	  1.3814	   4.726	  58.075
  969	 15.9400	  1.3814	   4.726	  58.135
  970	 15.9400	  1.3814	   4.726	  58.195
  971	 15.9400	  1.3814	   4.726	  58.255
  972	 15.9200	  1.3814	   4.726	  58.315
  973	 15.9200	  1.3814	   4.726	  58.375
  974	 15.9000	  1.3814	   4.726	  58.435
  975	 15.9000	  1.3814	   4.726	  58.495
  976	 15.9000	  1.3814	   4.726	  58.555
  977	 15.9000	  1.3814	   4.726	  58.615
  978	 15.8800	  1.3814	   4.726	  58.675
  979	 15.8800	  1.3814	   4.726	  58.735
  980	 15.8800	  1.3814	   4.726	  58.795
  981	 15.8800	  1.3814	   4.726	  58.855
  982	 15.8600	  1.3814	   4.726	  58.915
  983	 15.8600	  1.3814	   4.726	  58.975
  984	 15.8600	  1.3814	   4.726	  59.035
  985	 15.8600	  1.3814	   4.726	  59.095
  986	 15.8600	  1.3814	   4.726	  59.155
  987	 15.8400	  1.3814	   4.726	  59.215
  988	 15.8400	  1.3814	   4.726	  59.275
  989	 15.8400	  1.3814	   4.726	  59.335
  990	 15.8400	  1.3814	   4.726	  59.395
  991	 15.8200	  1.3814	   4.726	  59.455
  992	 15.8200	  1.3814	   4.726	  59.515
  993	 15.8200	  1.3814	   4.726	  59.575
  994	 15.8200	  1.3814	   4.726	  59.635
  995	 15.8200	  1.3814	   4.726	  59.695
  996	 15.8200	  1.3814	   4.726	  59.755
  997	 15.8000	  1.3814	   4.726	  59.815
  998	 15.8000	  1.3814	   4.726	  59.875
  999	 15.8000	  1.3814	   4.726	  59.935
 1000	 15.8000	  1.3814	   4.726	  59.995
 1001	 15.8000	  1.3814	   4.726	  60.055
 1002	 15.7800	  1.3814	   4.726	  60.115
 1003	 15.7800	  1.3814	   4.726	  60.175
 1004	 15.7800	  1.3814	   4.726	  60.235
 1005	 15.7800	  1.3814	   4.726	  60.295
 1006	 15.7800	  1.3814	   4.726	  60.355
 1007	 15.7800	  1.3814	   4.726	  60.415
 1008	 15.7800	  1.3814	   4.726	  60.475
 1009	 15.7600	  1.3814	   4.726	  60.535
 1010	 15.7800	  1.3814	   4.726	  60.595
 1011	 15.7600	  1.3814	   4.726	  60.655
 1012	 15.7600	  1.3814	   4.726	  60.715
 1013	 15.7600	  1.3814	   4.726	  60.775
 1014	 15.7600	  1.3814	   4.726	  60.835
 1015	 15.7600	  1.3814	   4.726	  60.895
 1016	 15.7600	  1.3814	   4.726	  60.955
 1017	 15.7400	  1.3814	   4.726	  61.015
 1018	 15.7400	  1.3814	   4.726	  61.075
 1019	 15.7400	  1.3814	   4.726	  61.135
 1020	 15.7400	  1.3814	   4.726	  61.195
 1021	 15.7400	  1.3814	   4.726	  61.255
 1022	 15.7400	  1.3814	   4.726	  61.315
 1023	 15.7400	  1.3814	   4.726	  61.375
 1024	 15.7400	  1.3814	   4.726	  61.435
 1025	 15.7400	  1.3814	   4.726	  61.495
 1026	 15.7200	  1.3814	   4.726	  61.555
 1027	 15.7400	  1.3814	   4.726	  61.615
 1028	 15.7200	  1.3814	   4.726	  61.675
 1029	 15.7200	  1.3814	   4.726	  61.735
 1030	 15.7200	  1.3814	   4.726	  61.795
 1031	 15.7200	  1.3814	   4.726	  61.855
 1032	 15.7200	  1.3814	   4.726	  61.915
 1033	 15.7200	  1.3814	   4.726	  61.975
 1034	 15.7200	  1.3814	   4.726	  62.035
 1035	 15.7200	  1.3814	   4.726	  62.095
 1036	 15.7200	  1.3814	   4.726	  62.155
 1037	 15.7000	  1.3814	   4.726	  62.215
 1038	 15.7000	  1.3814	   4.726	  62.275
 1039	 15.7000	  1.3814	   4.726	  62.335
 1040	 15.7000	  1.3814	   4.726	  62.395
 1041	 15.7000	  1.3814	   4.726	  62.455
 1042	 15.7000	  1.3814	   4.726	  62.515
 1043	 15.7000	  1.3814	   4.726	  62.575
 1044	 15.7000	  1.3814	   4.726	  62.635
 1045	 15.7000	  1.3814	   4.726	  62.695
 1046	 15.7000	  1.3814	   4.726	  62.755
 1047	 15.7000	  1.3814	   4.726	  62.815
 1048	 15.6800	  1.3814	   4.726	  62.875
 1049	 15.6800	  1.3814	   4.726	  62.935
 1050	 15.6800	  1.3814	   4.726	  62.995
 1051	 15.6800	  1.3814	   4.726	  63.055
 1052	 15.6800	  1.3814	   4.726	  63.115
 1053	 15.6800	  1.3814	   4.726	  63.175
 1054	 15.6800	  1.3814	   4.726	  63.235
 1055	 15.6800	  1.3814	   4.726	  63.295
 1056	 15.6800	  1.3814	   4.726	  63.355
 1057	 15.6800	  1.3814	   4.726	  63.415
 1058	 15.6800	  1.3814	   4.726	  63.475
 1059	 15.6800	  1.3814	   4.726	  63.535
 1060	 15.6800	  1.3814	   4.726	  63.595
 1061	 15.6600	  1.3814	   4.726	  63.655
 1062	 15.6600	  1.3814	   4.726	  63.715
 1063	 15.6600	  1.3814	   4.726	  63.775
 1064	 15.6600	  1.3814	   4.726	  63.835
 1065	 15.6600	  1.3814	   4.726	  63.895
 1066	 15.6600	  1.3814	   4.726	  63.955
 1067	 15.6600	  1.3814	   4.726	  64.015
 1068	 15.6600	  1.3814	   4.726	  64.075
 1069	 15.6600	  1.3814	   4.726	  64.135
 1070	 15.6600	  1.3814	   4.726	  64.195
 1071	 15.6600	  1.3814	   4.726	  64.255
 1072	 15.6600	  1.3814	   4.726	  64.315
 1073	 15.6600	  1.3814	   4.726	  64.375
 1074	 15.6600	  1.3814	   4.726	  64.435
 1075	 15.6600	  1.3814	   4.726	  64.495
 1076	 15.6400	  1.3814	   4.726	  64.555
 1077	 15.6400	  1.3814	   4.726	  64.615
 1078	 15.6400	  1.3814	   4.726	  64.675
 1079	 15.6400	  1.3814	   4.726	  64.735
 1080	 15.6400	  1.3814	   4.726	  64.795
 1081	 15.6400	  1.3814	   4.726	  64.855
 1082	 15.6400	  1.3814	   4.726	  64.915
 1083	 15.6400	  1.3814	   4.726	  64.975
 1084	 15.6400	  1.3814	   4.726	  65.035
 1085	 15.6400	  1.3814	   4.726	  65.095
 1086	 15.6400	  1.3814	   4.726	  65.155
 1087	 15.6400	  1.3814	   4.726	  65.215
 1088	 15.6400	  1.3814	   4.726	  65.275
 1089	 15.6400	  1.3814	   4.726	  65.335
 1090	 15.6400	  1.3814	   4.726	  65.395
 1091	 15.6200	  1.3814	   4.726	  65.455
 1092	 15.6200	  1.3814	   4.726	  65.515
 1093	 15.6200	  1.3814	   4.726	  65.575
 1094	 15.6200	  1.3814	   4.726	  65.635
 1095	 15.6200	  1.3814	   4.726	  65.695
 1096	 15.6200	  1.3814	   4.726	  65.755
 1097	 15.6200	  1.3814	   4.726	  65.815
 1098	 15.6200	  1.3814	   4.726	  65.875
 1099	 15.6200	  1.3814	   4.726	  65.935
 1100	 15.6200	  1.3814	   4.726	  65.995
 1101	 15.6200	  1.3814	   4.726	  66.055
 1102	 15.6200	  1.3814	   4.726	  66.115
 1103	 15.6200	  1.3814	   4.726	  66.175
 1104	 15.6200	  1.3814	   4.726	  66.235
 1105	 15.6200	  1.3814	   4.726	  66.295
 1106	 15.6200	  1.3814	   4.726	  66.355
 1107	 15.6200	  1.3814	   4.726	  66.415
 1108	 15.6200	  1.3814	   4.726	  66.475
 1109	 15.6000	  1.3814	   4.726	  66.535
 1110	 15.6200	  1.3814	   4.726	  66.595
 1111	 15.6000	  1.3814	   4.726	  66.655
 1112	 15.6000	  1.3814	   4.726	  66.715
 1113	 15.6000	  1.3814	   4.726	  66.775
 1114	 15.6000	  1.3814	   4.726	  66.835
 1115	 15.6000	  1.3814	   4.726	  66.895
 1116	 15.6000	  1.3814	   4.726	  66.955
 1117	 15.6000	  1.3814	   4.726	  67.015
 1118	 15.6000	  1.3814	   4.726	  67.075
 1119	 15.6000	  1.3814	   4.726	  67.135
 1120	 15.6000	  1.3814	   4.726	  67.195
 1121	 15.6000	  1.3814	   4.726	  67.255
 1122	 15.6000	  1.3814	   4.726	  67.315
 1123	 15.6000	  1.3814	   4.726	  67.375
 1124	 15.6000	  1.3814	   4.726	  67.435
 1125	 15.6000	  1.3814	   4.726	  67.495
 1126	 15.6000	  1.3814	   4.726	  67.555
 1127	 15.6000	  1.3814	   4.726	  67.615
 1128	 15.6000	  1.3814	   4.726	  67.675
 1129	 15.6000	  1.3814	   4.726	  67.735
 1130	 15.6000	  1.3814	   4.726	  67.795
 1131	 15.5800	  1.3814	   4.726	  67.855
 1132	 15.5800	  1.3814	   4.726	  67.915
 1133	 15.5800	  1.3814	   4.726	  67.975
 1134	 15.5800	  1.3814	   4.726	  68.035
 1135	 15.5800	  1.3814	   4.726	  68.095
 1136	 15.5800	  1.3814	   4.726	  68.155
 1137	 15.5800	  1.3814	   4.726	  68.215
 1138	 15.5800	  1.3814	   4.726	  68.275
 1139	 15.5800	  1.3814	   4.726	  68.335
 1140	 15.5800	  1.3814	   4.726	  68.395
 1141	 15.5800	  1.3814	   4.726	  68.455
 1142	 15.5800	  1.3814	   4.726	  68.515
 1143	 15.5800	  1.3814	   4.726	  68.575
 1144	 15.5800	  1.3814	   4.726	  68.635
 1145	 15.5800	  1.3814	   4.726	  68.695
 1146	 15.5800	  1.3814	   4.726	  68.755
 1147	 15.5800	  1.3814	   4.726	  68.815
 1148	 15.5800	  1.3814	   4.726	  68.875
 1149	 15.5800	  1.3814	   4.726	  68.935
 1150	 15.5800	  1.3814	   4.726	  68.995
 1151	 15.5800	  1.3814	   4.726	  69.055
 1152	 15.5600	  1.3814	   4.726	  69.115
 1153	 15.5600	  1.3814	   4.726	  69.175
 1154	 15.5600	  1.3814	   4.726	  69.235
 1155	 15.5600	  1.3814	   4.726	  69.295
 1156	 15.5600	  1.3814	   4.726	  69.355
 1157	 15.5600	  1.3814	   4.726	  69.415
 1158	 15.5600	  1.3814	   4.726	  69.475
 1159	 15.5600	  1.3814	   4.726	  69.535
 1160	 15.5600	  1.3814	   4.726	  69.595
 1161	 15.5600	  1.3814	   4.726	  69.655
 1162	 15.5600	  1.3814	   4.726	  69.715
 1163	 15.5600	  1.3814	   4.726	  69.775
 1164	 15.5600	  1.3814	   4.726	  69.835
 1165	 15.5600	  1.3814	   4.726	  69.895
 1166	 15.5600	  1.3814	   4.726	  69.955
 1167	 15.5600	  1.3814	   4.726	  70.015
 1168	 15.5600	  1.3814	   4.726	  70.075
 1169	 15.5600	  1.3814	   4.726	  70.135
 1170	 15.5600	  1.3814	   4.726	  70.195
 1171	 15.5600	  1.3814	   4.726	  70.255
 1172	 15.5600	  1.3814	   4.726	  70.315
 1173	 15.5600	  1.3814	   4.726	  70.375
 1174	 15.5600	  1.3814	   4.726	  70.435
 1175	 15.5600	  1.3814	   4.726	  70.495
 1176	 15.5600	  1.3814	   4.726	  70.555
 1177	 15.5600	  1.3814	   4.726	  70.615
 1178	 15.5600	  1.3814	   4.726	  70.675
 1179	 15.5400	  1.3814	   4.726	  70.735
 1180	 15.5400	  1.3814	   4.726	  70.795
 1181	 15.5400	  1.3814	   4.726	  70.855
 1182	 15.5400	  1.3814	   4.726	  70.915
 1183	 15.5400	  1.3814	   4.726	  70.975
 1184	 15.5400	  1.3814	   4.726	  71.035
 1185	 15.5400	  1.3814	   4.726	  71.095
 1186	 15.5400	  1.3814	   4.726	  71.155
 1187	 15.5400	  1.3814	   4.726	  71.215
 1188	 15.5400	  1.3814	   4.726	  71.275
 1189	 15.5400	  1.3814	   4.726	  71.335
 1190	 15.5400	  1.3814	   4.726	  71.395
 1191	 15.5400	  1.3814	   4.726	  71.455
 1192	 15.5400	  1.3814	   4.726	  71.515
 1193	 15.5400	  1.3814	   4.726	  71.575
 1194	 15.5400	  1.3814	   4.726	  71.635
 1195	 15.5400	  1.3814	   4.726	  71.695
 1196	 15.5400	  1.3814	   4.726	  71.755
 1197	 15.5400	  1.3814	   4.726	  71.815
 1198	 15.5400	  1.3814	   4.726	  71.875
 1199	 15.5400	  1.3814	   4.726	  71.935
 1200	 15.5400	  1.3814	   4.726	  71.995
 1201	 15.5400	  1.3814	   4.726	  72.055
 1202	 15.5400	  1.3814	   4.726	  72.115
 1203	 15.5400	  1.3814	   4.726	  72.175
 1204	 15.5400	  1.3814	   4.726	  72.235
 1205	 15.5400	  1.3814	   4.726	  72.295
 1206	 15.5400	  1.3814	   4.726	  72.355
 1207	 15.5200	  1.3814	   4.726	  72.415
 1208	 15.5200	  1.3814	   4.726	  72.475
 1209	 15.5400	  1.3814	   4.726	  72.535
 1210	 15.5400	  1.3814	   4.726	  72.595
 1211	 15.5200	  1.3814	   4.726	  72.655
 1212	 15.5200	  1.3814	   4.726	  72.715
 1213	 15.5200	  1.3814	   4.726	  72.775
 1214	 15.5200	  1.3814	   4.726	  72.835
 1215	 15.5200	  1.3814	   4.726	  72.895
 1216	 15.5200	  1.3814	   4.726	  72.955
 1217	 15.5200	  1.3814	   4.726	  73.015
 1218	 15.5200	  1.3814	   4.726	  73.075
 1219	 15.5200	  1.3814	   4.726	  73.135
 1220	 15.5200	  1.3814	   4.726	  73.195
 1221	 15.5200	  1.3814	   4.726	  73.255
 1222	 15.5200	  1.3814	   4.726	  73.315
 1223	 15.5200	  1.3814	   4.726	  73.375
 1224	 15.5200	  1.3814	   4.726	  73.435
 1225	 15.5200	  1.3814	   4.726	  73.495
 1226	 15.5200	  1.3814	   4.726	  73.555
 1227	 15.5200	  1.3814	   4.726	  73.615
 1228	 15.5200	  1.3814	   4.726	  73.675
 1229	 15.5200	  1.3814	   4.726	  73.735
 1230	 15.5200	  1.3814	   4.726	  73.795
 1231	 15.5200	  1.3814	   4.726	  73.855
 1232	 15.5200	  1.3814	   4.726	  73.915
 1233	 15.5200	  1.3814	   4.726	  73.975
 1234	 15.5200	  1.3814	   4.726	  74.035
 1235	 15.5200	  1.3814	   4.726	  74.095
 1236	 15.5000	  1.3814	   4.726	  74.155
 1237	 15.5200	  1.3814	   4.726	  74.215
 1238	 15.5200	  1.3814	   4.726	  74.275
 1239	 15.5200	  1.3814	   4.726	  74.335
 1240	 15.5000	  1.3814	   4.726	  74.395
 1241	 15.5200	  1.3814	   4.726	  74.455
 1242	 15.5000	  1.3814	   4.726	  74.515
 1243	 15.5000	  1.3814	   4.726	  74.575
 1244	 15.5000	  1.3814	   4.726	  74.635
 1245	 15.5000	  1.3814	   4.726	  74.695
 1246	 15.5000	  1.3814	   4.726	  74.755
 1247	 15.5000	  1.3814	   4.726	  74.815
 1248	 15.5000	  1.3814	   4.726	  74.875
 1249	 15.5000	  1.3814	   4.726	  74.935
 1250	 15.5000	  1.3814	   4.726	  74.995
 1251	 15.5000	  1.3814	   4.726	  75.055
 1252	 15.5000	  1.3814	   4.726	  75.115
 1253	 15.5000	  1.3814	   4.726	  75.175
 1254	 15.5000	  1.3814	   4.726	  75.235
 1255	 15.5000	  1.3814	   4.726	  75.295
 1256	 15.5000	  1.3814	   4.726	  75.355
 1257	 15.5000	  1.3814	   4.726	  75.415
 1258	 15.5000	  1.3814	   4.726	  75.475
 1259	 15.5000	  1.3814	   4.726	  75.535
 1260	 15.5000	  1.3814	   4.726	  75.595
 1261	 15.5000	  1.3814	   4.726	  75.655
 1262	 15.5000	  1.3814	   4.726	  75.715
 1263	 15.5000	  1.3814	   4.726	  75.775
 1264	 15.5000	  1.3814	   4.726	  75.835
 1265	 15.5000	  1.3814	   4.726	  75.895
 1266	 15.5000	  1.3814	   4.726	  75.955
 1267	 15.5000	  1.3814	   4.726	  76.015
 1268	 15.5000	  1.3814	   4.726	  76.075
 1269	 15.5000	  1.3814	   4.726	  76.135
 1270	 15.5000	  1.3814	   4.726	  76.195
 1271	 15.5000	  1.3814	   4.726	  76.255
 1272	 15.5000	  1.3814	   4.726	  76.315
 1273	 15.5000	  1.3814	   4.726	  76.375
 1274	 15.5000	  1.3814	   4.726	  76.435
 1275	 15.5000	  1.3814	   4.726	  76.495
 1276	 15.4800	  1.3814	   4.726	  76.555
 1277	 15.4800	  1.3814	   4.726	  76.615
 1278	 15.5000	  1.3814	   4.726	  76.675
 1279	 15.4800	  1.3814	   4.726	  76.735
 1280	 15.4800	  1.3814	   4.726	  76.795
 1281	 15.5000	  1.3814	   4.726	  76.855
 1282	 15.4800	  1.3814	   4.726	  76.915
 1283	 15.4800	  1.3814	   4.726	  76.975
 1284	 15.4800	  1.3814	   4.726	  77.035
 1285	 15.4800	  1.3814	   4.726	  77.095
 1286	 15.4800	  1.3814	   4.726	  77.155
 1287	 15.4800	  1.3814	   4.726	  77.215
 1288	 15.4800	  1.3814	   4.726	  77.275
 1289	 15.4800	  1.3814	   4.726	  77.335
 1290	 15.4800	  1.3814	   4.726	  77.395
 1291	 15.4800	  1.3814	   4.726	  77.455
 1292	 15.4800	  1.3814	   4.726	  77.515
 1293	 15.4800	  1.3814	   4.726	  77.575
 1294	 15.4800	  1.3814	   4.726	  77.635
 1295	 15.4800	  1.3814	   4.726	  77.695
 1296	 15.4800	  1.3814	   4.726	  77.755
 1297	 15.4800	  1.3814	   4.726	  77.815
 1298	 15.4800	  1.3814	   4.726	  77.875
 1299	 15.4800	  1.3814	   4.726	  77.935
 1300	 15.4800	  1.3814	   4.726	  77.995
 1301	 15.4800	  1.3814	   4.726	  78.055
 1302	 15.4800	  1.3814	   4.726	  78.115
 1303	 15.4800	  1.3814	   4.726	  78.175
 1304	 15.4800	  1.3814	   4.726	  78.235
 1305	 15.4800	  1.3814	   4.726	  78.295
 1306	 15.4800	  1.3814	   4.726	  78.355
 1307	 15.4800	  1.3814	   4.726	  78.415
 1308	 15.4800	  1.3814	   4.726	  78.475
 1309	 15.4800	  1.3814	   4.726	  78.535
 1310	 15.4800	  1.3814	   4.726	  78.595
 1311	 15.4600	  1.3814	   4.726	  78.655
 1312	 15.4600	  1.3814	   4.726	  78.715
 1313	 15.4800	  1.3814	   4.726	  78.775
 1314	 15.4800	  1.3814	   4.726	  78.835
 1315	 15.4600	  1.3814	   4.726	  78.895
 1316	 15.4600	  1.3814	   4.726	  78.955
 1317	 15.4600	  1.3814	   4.726	  79.015
 1318	 15.4600	  1.3814	   4.726	  79.075
 1319	 15.4600	  1.3814	   4.726	  79.135
 1320	 15.4800	  1.3814	   4.726	  79.195
 1321	 15.4600	  1.3814	   4.726	  79.255
 1322	 15.4600	  1.3814	   4.726	  79.315
 1323	 15.4600	  1.3814	   4.726	  79.375
 1324	 15.4600	  1.3814	   4.726	  79.435
 1325	 15.4600	  1.3814	   4.726	  79.495
 1326	 15.4600	  1.3814	   4.726	  79.555
 1327	 15.4600	  1.3814	   4.726	  79.615
 1328	 15.4600	  1.3814	   4.726	  79.675
 1329	 15.4600	  1.3814	   4.726	  79.735
 1330	 15.4600	  1.3814	   4.726	  79.795
 1331	 15.4600	  1.3814	   4.726	  79.855
 1332	 15.4600	  1.3814	   4.726	  79.915
 1333	 15.4600	  1.3814	   4.726	  79.975
 1334	 15.4600	  1.3814	   4.726	  80.035
 1335	 15.4600	  1.3814	   4.726	  80.095
 1336	 15.4600	  1.3814	   4.726	  80.155
 1337	 15.4600	  1.3814	   4.726	  80.215
 1338	 15.4600	  1.3814	   4.726	  80.275
 1339	 15.4600	  1.3814	   4.726	  80.335
 1340	 15.4600	  1.3814	   4.726	  80.395
 1341	 15.4600	  1.3814	   4.726	  80.455
 1342	 15.4600	  1.3814	   4.726	  80.515
 1343	 15.4600	  1.3814	   4.726	  80.575
 1344	 15.4600	  1.3814	   4.726	  80.635
 1345	 15.4600	  1.3814	   4.726	  80.695
 1346	 15.4600	  1.3814	   4.726	  80.755
 1347	 15.4600	  1.3814	   4.726	  80.815
 1348	 15.4600	  1.3814	   4.726	  80.875
 1349	 15.4600	  1.3814	   4.726	  80.935
 1350	 15.4600	  1.3814	   4.726	  80.995
 1351	 15.4600	  1.3814	   4.726	  81.055
 1352	 15.4600	  1.3814	   4.726	  81.115
 1353	 15.4600	  1.3814	   4.726	  81.175
 1354	 15.4600	  1.3814	   4.726	  81.235
 1355	 15.4600	  1.3814	   4.726	  81.295
 1356	 15.4600	  1.3814	   4.726	  81.355
 1357	 15.4400	  1.3814	   4.726	  81.415
 1358	 15.4400	  1.3814	   4.726	  81.475
 1359	 15.4600	  1.3814	   4.726	  81.535
 1360	 15.4400	  1.3814	   4.726	  81.595
 1361	 15.4400	  1.3814	   4.726	  81.655
 1362	 15.4600	  1.3814	   4.726	  81.715
 1363	 15.4600	  1.3814	   4.726	  81.775
 1364	 15.4400	  1.3814	   4.726	  81.835
 1365	 15.4600	  1.3814	   4.726	  81.895
 1366	 15.4600	  1.3814	   4.726	  81.955
 1367	 15.4400	  1.3814	   4.726	  82.015
 1368	 15.4400	  1.3814	   4.726	  82.075
 1369	 15.4400	  1.3814	   4.726	  82.135
 1370	 15.4400	  1.3814	   4.726	  82.195
 1371	 15.4400	  1.3814	   4.726	  82.255
 1372	 15.4400	  1.3814	   4.726	  82.315
 1373	 15.4400	  1.3814	   4.726	  82.375
 1374	 15.4400	  1.3814	   4.726	  82.435
 1375	 15.4400	  1.3814	   4.726	  82.495
 1376	 15.4400	  1.3814	   4.726	  82.555
 1377	 15.4400	  1.3814	   4.726	  82.615
 1378	 15.4400	  1.3814	   4.726	  82.675
 1379	 15.4400	  1.3814	   4.726	  82.735
 1380	 15.4400	  1.3814	   4.726	  82.795
 1381	 15.4400	  1.3814	   4.726	  82.855
 1382	 15.4400	  1.3814	   4.726	  82.915
 1383	 15.4400	  1.3814	   4.726	  82.975
 1384	 15.4400	  1.3814	   4.726	  83.035
 1385	 15.4400	  1.3814	   4.726	  83.095
 1386	 15.4400	  1.3814	   4.726	  83.155
 1387	 15.4400	  1.3814	   4.726	  83.215
 1388	 15.4400	  1.3814	   4.726	  83.275
 1389	 15.4400	  1.3814	   4.726	  83.335
 1390	 15.4400	  1.3814	   4.726	  83.395
 1391	 15.4400	  1.3814	   4.726	  83.455
 1392	 15.4400	  1.3814	   4.726	  83.515
 1393	 15.4400	  1.3814	   4.726	  83.575
 1394	 15.4400	  1.3814	   4.726	  83.635
 1395	 15.4400	  1.3814	   4.726	  83.695
 1396	 15.4400	  1.3814	   4.726	  83.755
 1397	 15.4400	  1.3814	   4.726	  83.815
 1398	 15.4400	  1.3814	   4.726	  83.875
 1399	 15.4400	  1.3814	   4.726	  83.935
 1400	 15.4200	  1.3814	   4.726	  83.995
 1401	 15.4400	  1.3814	   4.726	  84.055
 1402	 15.4400	  1.3814	   4.726	  84.115
 1403	 15.4400	  1.3814	   4.726	  84.175
 1404	 15.4400	  1.3814	   4.726	  84.235
 1405	 15.4200	  1.3814	   4.726	  84.295
 1406	 15.4400	  1.3814	   4.726	  84.355
 1407	 15.4200	  1.3814	   4.726	  84.415
 1408	 15.4200	  1.3814	   4.726	  84.475
 1409	 15.4200	  1.3814	   4.726	  84.535
 1410	 15.4200	  1.3814	   4.726	  84.595
 1411	 15.4200	  1.3814	   4.726	  84.655
 1412	 15.4200	  1.3814	   4.726	  84.715
 1413	 15.4200	  1.3814	   4.726	  84.775
 1414	 15.4200	  1.3814	   4.726	  84.835
 1415	 15.4200	  1.3814	   4.726	  84.895
 1416	 15.4200	  1.3814	   4.726	  84.955
 1417	 15.4200	  1.3814	   4.726	  85.015
 1418	 15.4200	  1.3814	   4.726	  85.075
 1419	 15.4200	  1.3814	   4.726	  85.135
 1420	 15.4200	  1.3814	   4.726	  85.195
 1421	 15.4200	  1.3814	   4.726	  85.255
 1422	 15.4200	  1.3814	   4.726	  85.315
 1423	 15.4200	  1.3814	   4.726	  85.375
 1424	 15.4200	  1.3814	   4.726	  85.435
 1425	 15.4200	  1.3814	   4.726	  85.495
