0
Diameter:	   3.00
   6.00
Area:	  18.0000
Gauge:	  25.00
2009-1-20
Polimero
amostra 20mm/min
DataNumber:	3772
Order	Load(kN)	Defor(mm)	Stroke(mm)	Time(s)
  578	  0.2200	 28.9587	  28.959	  34.675
  579	  0.2200	 29.0087	  29.009	  34.735
  580	  0.2200	 29.0575	  29.057	  34.795
  581	  0.2200	 29.1087	  29.109	  34.855
  582	  0.2200	 29.1587	  29.159	  34.915
  583	  0.2200	 29.2087	  29.209	  34.975
  584	  0.2200	 29.2587	  29.259	  35.035
  585	  0.2200	 29.3088	  29.309	  35.095
  586	  0.2200	 29.3587	  29.359	  35.155
  587	  0.2200	 29.4087	  29.409	  35.215
  588	  0.2200	 29.4587	  29.459	  35.275
  589	  0.2200	 29.5087	  29.509	  35.335
  590	  0.2200	 29.5600	  29.560	  35.395
  591	  0.2200	 29.6100	  29.610	  35.455
  592	  0.2200	 29.6600	  29.660	  35.515
  593	  0.2200	 29.7100	  29.710	  35.575
  594	  0.2200	 29.7600	  29.760	  35.635
  595	  0.2200	 29.8112	  29.811	  35.695
  596	  0.2200	 29.8612	  29.861	  35.755
  597	  0.2200	 29.9112	  29.911	  35.815
  598	  0.2200	 29.9600	  29.960	  35.875
  599	  0.2200	 30.0112	  30.011	  35.935
  600	  0.2200	 30.0612	  30.061	  35.995
  601	  0.2200	 30.1112	  30.111	  36.055
  602	  0.2200	 30.1612	  30.161	  36.115
  603	  0.2200	 30.2112	  30.211	  36.175
  604	  0.2200	 30.2612	  30.261	  36.235
  605	  0.2200	 30.3112	  30.311	  36.295
  606	  0.2200	 30.3612	  30.361	  36.355
  607	  0.2200	 30.4112	  30.411	  36.415
  608	  0.2200	 30.4625	  30.462	  36.475
  609	  0.2200	 30.5125	  30.512	  36.535
  610	  0.2200	 30.5625	  30.562	  36.595
  611	  0.2200	 30.6125	  30.612	  36.655
  612	  0.2200	 30.6625	  30.662	  36.715
  613	  0.2200	 30.7137	  30.714	  36.775
  614	  0.2200	 30.7625	  30.762	  36.835
  615	  0.2200	 30.8137	  30.814	  36.895
  616	  0.2200	 30.8637	  30.864	  36.955
  617	  0.2200	 30.9137	  30.914	  37.015
  618	  0.2200	 30.9637	  30.964	  37.075
  619	  0.2200	 31.0138	  31.014	  37.135
  620	  0.2200	 31.0637	  31.064	  37.195
  621	  0.2200	 31.1137	  31.114	  37.255
  622	  0.2200	 31.1637	  31.164	  37.315
  623	  0.2200	 31.2137	  31.214	  37.375
  624	  0.2200	 31.2638	  31.264	  37.435
  625	  0.2200	 31.3137	  31.314	  37.495
  626	  0.2200	 31.3637	  31.364	  37.555
  627	  0.2200	 31.4137	  31.414	  37.615
  628	  0.2200	 31.4637	  31.464	  37.675
  629	  0.2200	 31.5138	  31.514	  37.735
  630	  0.2200	 31.5637	  31.564	  37.795
  631	  0.2200	 31.6150	  31.615	  37.855
  632	  0.2200	 31.6650	  31.665	  37.915
  633	  0.2200	 31.7150	  31.715	  37.975
  634	  0.2200	 31.7650	  31.765	  38.035
  635	  0.2200	 31.8150	  31.815	  38.095
  636	  0.2200	 31.8650	  31.865	  38.155
  637	  0.2200	 31.9150	  31.915	  38.215
  638	  0.2200	 31.9662	  31.966	  38.275
  639	  0.2200	 32.0163	  32.016	  38.335
  640	  0.2200	 32.0662	  32.066	  38.395
  641	  0.2200	 32.1162	  32.116	  38.455
  642	  0.2200	 32.1662	  32.166	  38.515
  643	  0.2200	 32.2162	  32.216	  38.575
  644	  0.2200	 32.2663	  32.266	  38.635
  645	  0.2200	 32.3175	  32.318	  38.695
  646	  0.2200	 32.3675	  32.368	  38.755
  647	  0.2200	 32.4175	  32.417	  38.815
  648	  0.2200	 32.4675	  32.467	  38.875
  649	  0.2200	 32.5175	  32.517	  38.935
  650	  0.2200	 32.5675	  32.568	  38.995
  651	  0.2200	 32.6175	  32.618	  39.055
  652	  0.2200	 32.6675	  32.667	  39.115
  653	  0.2200	 32.7175	  32.717	  39.175
  654	  0.2200	 32.7687	  32.769	  39.235
  655	  0.2200	 32.8187	  32.819	  39.295
  656	  0.2200	 32.8687	  32.869	  39.355
  657	  0.2200	 32.9188	  32.919	  39.415
  658	  0.2200	 32.9700	  32.970	  39.475
  659	  0.2200	 33.0200	  33.020	  39.535
  660	  0.2200	 33.0687	  33.069	  39.595
  661	  0.2200	 33.1200	  33.120	  39.655
  662	  0.2200	 33.1700	  33.170	  39.715
  663	  0.2200	 33.2212	  33.221	  39.775
  664	  0.2200	 33.2700	  33.270	  39.835
  665	  0.2200	 33.3213	  33.321	  39.895
  666	  0.2200	 33.3713	  33.371	  39.955
  667	  0.2200	 33.4212	  33.421	  40.015
  668	  0.2200	 33.4712	  33.471	  40.075
  669	  0.2200	 33.5212	  33.521	  40.135
  670	  0.2200	 33.5713	  33.571	  40.195
  671	  0.2200	 33.6213	  33.621	  40.255
  672	  0.2200	 33.6725	  33.673	  40.315
  673	  0.2200	 33.7225	  33.722	  40.375
  674	  0.2200	 33.7725	  33.772	  40.435
  675	  0.2200	 33.8225	  33.822	  40.495
  676	  0.2200	 33.8725	  33.872	  40.555
  677	  0.2200	 33.9237	  33.924	  40.615
  678	  0.2200	 33.9738	  33.974	  40.675
  679	  0.2200	 34.0238	  34.024	  40.735
  680	  0.2200	 34.0737	  34.074	  40.795
  681	  0.2200	 34.1250	  34.125	  40.855
  682	  0.2200	 34.1737	  34.174	  40.915
  683	  0.2200	 34.2250	  34.225	  40.975
  684	  0.2200	 34.2738	  34.274	  41.035
  685	  0.2200	 34.3237	  34.324	  41.095
  686	  0.2200	 34.3750	  34.375	  41.155
  687	  0.2200	 34.4250	  34.425	  41.215
  688	  0.2200	 34.4750	  34.475	  41.275
  689	  0.2200	 34.5250	  34.525	  41.335
  690	  0.2200	 34.5762	  34.576	  41.395
  691	  0.2200	 34.6250	  34.625	  41.455
  692	  0.2200	 34.6763	  34.676	  41.515
  693	  0.2200	 34.7262	  34.726	  41.575
  694	  0.2200	 34.7762	  34.776	  41.635
  695	  0.2200	 34.8262	  34.826	  41.695
  696	  0.2200	 34.8762	  34.876	  41.755
  697	  0.2200	 34.9275	  34.927	  41.815
  698	  0.2200	 34.9775	  34.978	  41.875
  699	  0.2200	 35.0275	  35.028	  41.935
  700	  0.2200	 35.0775	  35.077	  41.995
  701	  0.2200	 35.1275	  35.127	  42.055
  702	  0.2200	 35.1775	  35.177	  42.115
  703	  0.2200	 35.2262	  35.226	  42.175
  704	  0.2200	 35.2775	  35.278	  42.235
  705	  0.2200	 35.3275	  35.327	  42.295
  706	  0.2200	 35.3775	  35.377	  42.355
  707	  0.2200	 35.4275	  35.427	  42.415
  708	  0.2200	 35.4775	  35.478	  42.475
  709	  0.2200	 35.5275	  35.528	  42.535
  710	  0.2200	 35.5775	  35.577	  42.595
  711	  0.2200	 35.6275	  35.627	  42.655
  712	  0.2200	 35.6775	  35.677	  42.715
  713	  0.2200	 35.7275	  35.728	  42.775
  714	  0.2200	 35.7762	  35.776	  42.835
  715	  0.2200	 35.8275	  35.827	  42.895
  716	  0.2200	 35.8775	  35.877	  42.955
  717	  0.2200	 35.9275	  35.927	  43.015
  718	  0.2200	 35.9775	  35.978	  43.075
  719	  0.2200	 36.0275	  36.028	  43.135
  720	  0.2200	 36.0788	  36.079	  43.195
  721	  0.2200	 36.1287	  36.129	  43.255
  722	  0.2200	 36.1787	  36.179	  43.315
  723	  0.2200	 36.2287	  36.229	  43.375
  724	  0.2200	 36.2800	  36.280	  43.435
  725	  0.2200	 36.3288	  36.329	  43.495
  726	  0.2200	 36.3787	  36.379	  43.555
  727	  0.2200	 36.4300	  36.430	  43.615
  728	  0.2200	 36.4800	  36.480	  43.675
  729	  0.2200	 36.5300	  36.530	  43.735
  730	  0.2200	 36.5800	  36.580	  43.795
  731	  0.2200	 36.6312	  36.631	  43.855
  732	  0.2200	 36.6787	  36.679	  43.915
  733	  0.2200	 36.7287	  36.729	  43.975
  734	  0.2200	 36.7787	  36.779	  44.035
  735	  0.2200	 36.8288	  36.829	  44.095
  736	  0.2200	 36.8800	  36.880	  44.155
  737	  0.2200	 36.9300	  36.930	  44.215
  738	  0.2200	 36.9800	  36.980	  44.275
  739	  0.2200	 37.0300	  37.030	  44.335
  740	  0.2200	 37.0812	  37.081	  44.395
  741	  0.2200	 37.1312	  37.131	  44.455
  742	  0.2200	 37.1812	  37.181	  44.515
  743	  0.2200	 37.2313	  37.231	  44.575
  744	  0.2200	 37.2812	  37.281	  44.635
  745	  0.2200	 37.3312	  37.331	  44.695
  746	  0.2200	 37.3812	  37.381	  44.755
  747	  0.2200	 37.4325	  37.432	  44.815
  748	  0.2200	 37.4813	  37.481	  44.875
  749	  0.2200	 37.5312	  37.531	  44.935
  750	  0.2200	 37.5825	  37.583	  44.995
  751	  0.2200	 37.6312	  37.631	  45.055
  752	  0.2200	 37.6825	  37.682	  45.115
  753	  0.2200	 37.7325	  37.732	  45.175
  754	  0.2200	 37.7825	  37.782	  45.235
  755	  0.2200	 37.8325	  37.833	  45.295
  756	  0.2200	 37.8825	  37.882	  45.355
  757	  0.2200	 37.9325	  37.932	  45.415
  758	  0.2200	 37.9837	  37.984	  45.475
  759	  0.2200	 38.0337	  38.034	  45.535
  760	  0.2200	 38.0837	  38.084	  45.595
  761	  0.2200	 38.1338	  38.134	  45.655
  762	  0.2200	 38.1838	  38.184	  45.715
  763	  0.2200	 38.2350	  38.235	  45.775
  764	  0.2200	 38.2850	  38.285	  45.835
  765	  0.2200	 38.3363	  38.336	  45.895
  766	  0.2200	 38.3850	  38.385	  45.955
  767	  0.2200	 38.4362	  38.436	  46.015
  768	  0.2200	 38.4850	  38.485	  46.075
  769	  0.2200	 38.5350	  38.535	  46.135
  770	  0.2200	 38.5863	  38.586	  46.195
  771	  0.2200	 38.6362	  38.636	  46.255
  772	  0.2200	 38.6862	  38.686	  46.315
  773	  0.2200	 38.7362	  38.736	  46.375
  774	  0.2200	 38.7875	  38.787	  46.435
  775	  0.2200	 38.8363	  38.836	  46.495
  776	  0.2200	 38.8862	  38.886	  46.555
  777	  0.2200	 38.9375	  38.938	  46.615
  778	  0.2200	 38.9875	  38.987	  46.675
  779	  0.2200	 39.0375	  39.037	  46.735
  780	  0.2200	 39.0875	  39.087	  46.795
  781	  0.2200	 39.1375	  39.138	  46.855
  782	  0.2200	 39.1875	  39.188	  46.915
  783	  0.2200	 39.2375	  39.237	  46.975
  784	  0.2200	 39.2875	  39.287	  47.035
  785	  0.2200	 39.3375	  39.337	  47.095
  786	  0.2200	 39.3875	  39.388	  47.155
  787	  0.2200	 39.4375	  39.438	  47.215
  788	  0.2200	 39.4888	  39.489	  47.275
  789	  0.2200	 39.5375	  39.537	  47.335
  790	  0.2200	 39.5887	  39.589	  47.395
  791	  0.2200	 39.6375	  39.638	  47.455
  792	  0.2200	 39.6887	  39.689	  47.515
  793	  0.2200	 39.7375	  39.737	  47.575
  794	  0.2200	 39.7875	  39.787	  47.635
  795	  0.2200	 39.8387	  39.839	  47.695
  796	  0.2200	 39.8875	  39.888	  47.755
  797	  0.2200	 39.9387	  39.939	  47.815
  798	  0.2200	 39.9875	  39.987	  47.875
  799	  0.2200	 40.0387	  40.039	  47.935
  800	  0.2200	 40.0887	  40.089	  47.995
  801	  0.2200	 40.1387	  40.139	  48.055
  802	  0.2200	 40.1887	  40.189	  48.115
  803	  0.2200	 40.2388	  40.239	  48.175
  804	  0.2200	 40.2900	  40.290	  48.235
  805	  0.2200	 40.3400	  40.340	  48.295
  806	  0.2200	 40.3900	  40.390	  48.355
  807	  0.2200	 40.4400	  40.440	  48.415
  808	  0.2200	 40.4900	  40.490	  48.475
  809	  0.2200	 40.5400	  40.540	  48.535
  810	  0.2200	 40.5887	  40.589	  48.595
  811	  0.2200	 40.6400	  40.640	  48.655
  812	  0.2200	 40.6900	  40.690	  48.715
  813	  0.2200	 40.7400	  40.740	  48.775
  814	  0.2200	 40.7900	  40.790	  48.835
  815	  0.2200	 40.8412	  40.841	  48.895
  816	  0.2200	 40.8900	  40.890	  48.955
  817	  0.2200	 40.9412	  40.941	  49.015
  818	  0.2200	 40.9912	  40.991	  49.075
  819	  0.2200	 41.0412	  41.041	  49.135
  820	  0.2200	 41.0912	  41.091	  49.195
  821	  0.2200	 41.1413	  41.141	  49.255
  822	  0.2200	 41.1912	  41.191	  49.315
  823	  0.2200	 41.2412	  41.241	  49.375
  824	  0.2200	 41.2925	  41.292	  49.435
  825	  0.2200	 41.3425	  41.342	  49.495
  826	  0.2200	 41.3925	  41.392	  49.555
  827	  0.2200	 41.4425	  41.442	  49.615
  828	  0.2200	 41.4925	  41.493	  49.675
  829	  0.2200	 41.5438	  41.544	  49.735
  830	  0.2200	 41.5938	  41.594	  49.795
  831	  0.2200	 41.6437	  41.644	  49.855
  832	  0.2200	 41.6937	  41.694	  49.915
  833	  0.2200	 41.7437	  41.744	  49.975
  834	  0.2200	 41.7938	  41.794	  50.035
  835	  0.2200	 41.8438	  41.844	  50.095
  836	  0.2200	 41.8937	  41.894	  50.155
  837	  0.2200	 41.9437	  41.944	  50.215
  838	  0.2200	 41.9950	  41.995	  50.275
  839	  0.2200	 42.0450	  42.045	  50.335
  840	  0.2200	 42.0950	  42.095	  50.395
  841	  0.2200	 42.1450	  42.145	  50.455
  842	  0.2200	 42.1963	  42.196	  50.515
  843	  0.2200	 42.2463	  42.246	  50.575
  844	  0.2200	 42.2962	  42.296	  50.635
  845	  0.2200	 42.3462	  42.346	  50.695
  846	  0.2200	 42.3962	  42.396	  50.755
  847	  0.2200	 42.4475	  42.447	  50.815
  848	  0.2200	 42.4963	  42.496	  50.875
  849	  0.2200	 42.5475	  42.548	  50.935
  850	  0.2200	 42.5975	  42.597	  50.995
  851	  0.2200	 42.6475	  42.647	  51.055
  852	  0.2200	 42.6975	  42.697	  51.115
  853	  0.2200	 42.7475	  42.747	  51.175
  854	  0.2200	 42.7975	  42.798	  51.235
  855	  0.2200	 42.8475	  42.847	  51.295
  856	  0.2200	 42.8988	  42.899	  51.355
  857	  0.2200	 42.9487	  42.949	  51.415
  858	  0.2200	 42.9987	  42.999	  51.475
  859	  0.2200	 43.0487	  43.049	  51.535
  860	  0.2200	 43.0987	  43.099	  51.595
  861	  0.2200	 43.1488	  43.149	  51.655
  862	  0.2200	 43.1987	  43.199	  51.715
  863	  0.2200	 43.2500	  43.250	  51.775
  864	  0.2200	 43.3000	  43.300	  51.835
  865	  0.2200	 43.3512	  43.351	  51.895
  866	  0.2200	 43.4000	  43.400	  51.955
  867	  0.2200	 43.4512	  43.451	  52.015
  868	  0.2200	 43.5012	  43.501	  52.075
  869	  0.2200	 43.5513	  43.551	  52.135
  870	  0.2200	 43.6012	  43.601	  52.195
  871	  0.2200	 43.6512	  43.651	  52.255
  872	  0.2200	 43.7012	  43.701	  52.315
  873	  0.2200	 43.7512	  43.751	  52.375
  874	  0.2200	 43.8025	  43.802	  52.435
  875	  0.2200	 43.8525	  43.853	  52.495
  876	  0.2200	 43.9012	  43.901	  52.555
  877	  0.2200	 43.9525	  43.952	  52.615
  878	  0.2200	 44.0025	  44.002	  52.675
  879	  0.2200	 44.0525	  44.052	  52.735
  880	  0.2200	 44.1025	  44.103	  52.795
  881	  0.2200	 44.1537	  44.154	  52.855
  882	  0.2200	 44.2038	  44.204	  52.915
  883	  0.2200	 44.2537	  44.254	  52.975
  884	  0.2200	 44.3037	  44.304	  53.035
  885	  0.2200	 44.3537	  44.354	  53.095
  886	  0.2200	 44.4050	  44.405	  53.155
  887	  0.2200	 44.4550	  44.455	  53.215
  888	  0.2200	 44.5050	  44.505	  53.275
  889	  0.2200	 44.5550	  44.555	  53.335
  890	  0.2200	 44.6063	  44.606	  53.395
  891	  0.2200	 44.6562	  44.656	  53.455
  892	  0.2200	 44.7062	  44.706	  53.515
  893	  0.2200	 44.7562	  44.756	  53.575
  894	  0.2200	 44.8062	  44.806	  53.635
  895	  0.2200	 44.8563	  44.856	  53.695
  896	  0.2200	 44.9062	  44.906	  53.755
  897	  0.2200	 44.9575	  44.958	  53.815
  898	  0.2200	 45.0075	  45.007	  53.875
  899	  0.2200	 45.0575	  45.057	  53.935
  900	  0.2200	 45.1087	  45.109	  53.995
  901	  0.2200	 45.1575	  45.157	  54.055
  902	  0.2200	 45.2062	  45.206	  54.115
  903	  0.2200	 45.2562	  45.256	  54.175
  904	  0.2200	 45.3075	  45.307	  54.235
  905	  0.2200	 45.3575	  45.357	  54.295
  906	  0.2200	 45.4075	  45.407	  54.355
  907	  0.2200	 45.4575	  45.458	  54.415
  908	  0.2200	 45.5087	  45.509	  54.475
  909	  0.2200	 45.5588	  45.559	  54.535
  910	  0.2200	 45.6087	  45.609	  54.595
  911	  0.2200	 45.6587	  45.659	  54.655
  912	  0.2200	 45.7087	  45.709	  54.715
  913	  0.2200	 45.7600	  45.760	  54.775
  914	  0.2200	 45.8100	  45.810	  54.835
  915	  0.2200	 45.8612	  45.861	  54.895
  916	  0.2200	 45.9112	  45.911	  54.955
  917	  0.2200	 45.9613	  45.961	  55.015
  918	  0.2200	 46.0112	  46.011	  55.075
  919	  0.2200	 46.0612	  46.061	  55.135
  920	  0.2200	 46.1112	  46.111	  55.195
  921	  0.2200	 46.1612	  46.161	  55.255
  922	  0.2200	 46.2125	  46.212	  55.315
  923	  0.2200	 46.2625	  46.263	  55.375
  924	  0.2200	 46.3125	  46.312	  55.435
  925	  0.2200	 46.3625	  46.362	  55.495
  926	  0.2200	 46.4100	  46.410	  55.555
  927	  0.2200	 46.4613	  46.461	  55.615
  928	  0.2200	 46.5112	  46.511	  55.675
  929	  0.2200	 46.5612	  46.561	  55.735
  930	  0.2200	 46.6112	  46.611	  55.795
  931	  0.2200	 46.6625	  46.662	  55.855
  932	  0.2200	 46.7125	  46.712	  55.915
  933	  0.2200	 46.7625	  46.763	  55.975
  934	  0.2200	 46.8125	  46.812	  56.035
  935	  0.2200	 46.8625	  46.862	  56.095
  936	  0.2200	 46.9137	  46.914	  56.155
  937	  0.2200	 46.9625	  46.962	  56.215
  938	  0.2200	 47.0137	  47.014	  56.275
  939	  0.2200	 47.0637	  47.064	  56.335
  940	  0.2200	 47.1138	  47.114	  56.395
  941	  0.2200	 47.1637	  47.164	  56.455
  942	  0.2200	 47.2150	  47.215	  56.515
  943	  0.2200	 47.2650	  47.265	  56.575
  944	  0.2200	 47.3137	  47.314	  56.635
  945	  0.2200	 47.3650	  47.365	  56.695
  946	  0.2200	 47.4150	  47.415	  56.755
  947	  0.2200	 47.4662	  47.466	  56.815
  948	  0.2200	 47.5150	  47.515	  56.875
  949	  0.2200	 47.5662	  47.566	  56.935
  950	  0.2200	 47.6162	  47.616	  56.995
  951	  0.2200	 47.6650	  47.665	  57.055
  952	  0.2200	 47.7162	  47.716	  57.115
  953	  0.2200	 47.7650	  47.765	  57.175
  954	  0.2200	 47.8162	  47.816	  57.235
  955	  0.2200	 47.8662	  47.866	  57.295
  956	  0.2200	 47.9162	  47.916	  57.355
  957	  0.2200	 47.9662	  47.966	  57.415
  958	  0.2200	 48.0175	  48.017	  57.475
  959	  0.2200	 48.0662	  48.066	  57.535
  960	  0.2200	 48.1162	  48.116	  57.595
  961	  0.2200	 48.1675	  48.167	  57.655
  962	  0.2200	 48.2162	  48.216	  57.715
  963	  0.2200	 48.2663	  48.266	  57.775
  964	  0.2200	 48.3162	  48.316	  57.835
  965	  0.2200	 48.3662	  48.366	  57.895
  966	  0.2200	 48.4175	  48.417	  57.955
  967	  0.2200	 48.4675	  48.467	  58.015
  968	  0.2200	 48.5175	  48.517	  58.075
  969	  0.2200	 48.5675	  48.567	  58.135
  970	  0.2200	 48.6175	  48.618	  58.195
  971	  0.2200	 48.6675	  48.667	  58.255
  972	  0.2200	 48.7175	  48.717	  58.315
  973	  0.2200	 48.7675	  48.767	  58.375
  974	  0.2200	 48.8187	  48.819	  58.435
  975	  0.2200	 48.8675	  48.868	  58.495
  976	  0.2200	 48.9175	  48.917	  58.555
  977	  0.2200	 48.9675	  48.967	  58.615
  978	  0.2200	 49.0175	  49.017	  58.675
  979	  0.2200	 49.0687	  49.069	  58.735
  980	  0.2200	 49.1187	  49.119	  58.795
  981	  0.2200	 49.1688	  49.169	  58.855
  982	  0.2200	 49.2188	  49.219	  58.915
  983	  0.2200	 49.2687	  49.269	  58.975
  984	  0.2200	 49.3187	  49.319	  59.035
  985	  0.2200	 49.3687	  49.369	  59.095
  986	  0.2200	 49.4200	  49.420	  59.155
  987	  0.2200	 49.4700	  49.470	  59.215
  988	  0.2200	 49.5200	  49.520	  59.275
  989	  0.2200	 49.5700	  49.570	  59.335
  990	  0.2200	 49.6200	  49.620	  59.395
  991	  0.2200	 49.6700	  49.670	  59.455
  992	  0.2200	 49.7162	  49.716	  59.515
  993	  0.2200	 49.7663	  49.766	  59.575
  994	  0.2200	 49.8162	  49.816	  59.635
  995	  0.2200	 49.8662	  49.866	  59.695
  996	  0.2200	 49.9162	  49.916	  59.755
  997	  0.2200	 49.9675	  49.967	  59.815
  998	  0.2200	 50.0175	  50.017	  59.875
  999	  0.2200	 50.0675	  50.067	  59.935
 1000	  0.2200	 50.1175	  50.118	  59.995
 1001	  0.2200	 50.1675	  50.167	  60.055
 1002	  0.2200	 50.2175	  50.217	  60.115
 1003	  0.2200	 50.2675	  50.267	  60.175
 1004	  0.2200	 50.3187	  50.319	  60.235
 1005	  0.2200	 50.3675	  50.368	  60.295
 1006	  0.2200	 50.4188	  50.419	  60.355
 1007	  0.2200	 50.4688	  50.469	  60.415
 1008	  0.2200	 50.5187	  50.519	  60.475
 1009	  0.2200	 50.5687	  50.569	  60.535
 1010	  0.2200	 50.6187	  50.619	  60.595
 1011	  0.2200	 50.6700	  50.670	  60.655
 1012	  0.2200	 50.7188	  50.719	  60.715
 1013	  0.2200	 50.7700	  50.770	  60.775
 1014	  0.2200	 50.8200	  50.820	  60.835
 1015	  0.2200	 50.8700	  50.870	  60.895
 1016	  0.2200	 50.9200	  50.920	  60.955
 1017	  0.2200	 50.9700	  50.970	  61.015
 1018	  0.2200	 51.0200	  51.020	  61.075
 1019	  0.2200	 51.0700	  51.070	  61.135
 1020	  0.2200	 51.1200	  51.120	  61.195
 1021	  0.2200	 51.1700	  51.170	  61.255
 1022	  0.2200	 51.2212	  51.221	  61.315
 1023	  0.2200	 51.2712	  51.271	  61.375
 1024	  0.2200	 51.3212	  51.321	  61.435
 1025	  0.2200	 51.3713	  51.371	  61.495
 1026	  0.2200	 51.4212	  51.421	  61.555
 1027	  0.2200	 51.4725	  51.472	  61.615
 1028	  0.2200	 51.5225	  51.522	  61.675
 1029	  0.2200	 51.5725	  51.572	  61.735
 1030	  0.2200	 51.6225	  51.622	  61.795
 1031	  0.2200	 51.6725	  51.673	  61.855
 1032	  0.2200	 51.7225	  51.722	  61.915
 1033	  0.2200	 51.7725	  51.772	  61.975
 1034	  0.2200	 51.8237	  51.824	  62.035
 1035	  0.2200	 51.8725	  51.872	  62.095
 1036	  0.2200	 51.9237	  51.924	  62.155
 1037	  0.2200	 51.9725	  51.972	  62.215
 1038	  0.2200	 52.0238	  52.024	  62.275
 1039	  0.2200	 52.0737	  52.074	  62.335
 1040	  0.2200	 52.1237	  52.124	  62.395
 1041	  0.2200	 52.1737	  52.174	  62.455
 1042	  0.2200	 52.2237	  52.224	  62.515
 1043	  0.2200	 52.2738	  52.274	  62.575
 1044	  0.2200	 52.3237	  52.324	  62.635
 1045	  0.2200	 52.3737	  52.374	  62.695
 1046	  0.2200	 52.4237	  52.424	  62.755
 1047	  0.2200	 52.4737	  52.474	  62.815
 1048	  0.2200	 52.5238	  52.524	  62.875
 1049	  0.2200	 52.5750	  52.575	  62.935
 1050	  0.2200	 52.6250	  52.625	  62.995
 1051	  0.2200	 52.6750	  52.675	  63.055
 1052	  0.2200	 52.7250	  52.725	  63.115
 1053	  0.2200	 52.7750	  52.775	  63.175
 1054	  0.2200	 52.8250	  52.825	  63.235
 1055	  0.2200	 52.8750	  52.875	  63.295
 1056	  0.2200	 52.9263	  52.926	  63.355
 1057	  0.2200	 52.9762	  52.976	  63.415
 1058	  0.2200	 53.0262	  53.026	  63.475
 1059	  0.2200	 53.0762	  53.076	  63.535
 1060	  0.2200	 53.1262	  53.126	  63.595
 1061	  0.2200	 53.1763	  53.176	  63.655
 1062	  0.2200	 53.2262	  53.226	  63.715
 1063	  0.2200	 53.2775	  53.278	  63.775
 1064	  0.2200	 53.3262	  53.326	  63.835
 1065	  0.2200	 53.3775	  53.377	  63.895
 1066	  0.2200	 53.4275	  53.427	  63.955
 1067	  0.2200	 53.4775	  53.477	  64.015
 1068	  0.2200	 53.5275	  53.528	  64.075
 1069	  0.2200	 53.5775	  53.577	  64.135
 1070	  0.2200	 53.6287	  53.629	  64.195
 1071	  0.2200	 53.6787	  53.679	  64.255
 1072	  0.2200	 53.7287	  53.729	  64.315
 1073	  0.2200	 53.7787	  53.779	  64.375
 1074	  0.2200	 53.8300	  53.830	  64.435
 1075	  0.2200	 53.8787	  53.879	  64.495
 1076	  0.2200	 53.9287	  53.929	  64.555
 1077	  0.2200	 53.9800	  53.980	  64.615
 1078	  0.2200	 54.0300	  54.030	  64.675
 1079	  0.2200	 54.0800	  54.080	  64.735
 1080	  0.2200	 54.1300	  54.130	  64.795
 1081	  0.2200	 54.1812	  54.181	  64.855
 1082	  0.2200	 54.2312	  54.231	  64.915
 1083	  0.2200	 54.2812	  54.281	  64.975
 1084	  0.2200	 54.3312	  54.331	  65.035
 1085	  0.2200	 54.3812	  54.381	  65.095
 1086	  0.2200	 54.4325	  54.432	  65.155
 1087	  0.2200	 54.4812	  54.481	  65.215
 1088	  0.2200	 54.5325	  54.532	  65.275
 1089	  0.2200	 54.5825	  54.583	  65.335
 1090	  0.2200	 54.6337	  54.634	  65.395
 1091	  0.2200	 54.6838	  54.684	  65.455
 1092	  0.2200	 54.7337	  54.734	  65.515
 1093	  0.2200	 54.7837	  54.784	  65.575
 1094	  0.2200	 54.8337	  54.834	  65.635
 1095	  0.2200	 54.8837	  54.884	  65.695
 1096	  0.2200	 54.9338	  54.934	  65.755
 1097	  0.2200	 54.9850	  54.985	  65.815
 1098	  0.2200	 55.0350	  55.035	  65.875
 1099	  0.2200	 55.0850	  55.085	  65.935
 1100	  0.2200	 55.1350	  55.135	  65.995
 1101	  0.2200	 55.1850	  55.185	  66.055
 1102	  0.2200	 55.2362	  55.236	  66.115
 1103	  0.2200	 55.2862	  55.286	  66.175
 1104	  0.2200	 55.3363	  55.336	  66.235
 1105	  0.2200	 55.3862	  55.386	  66.295
 1106	  0.2200	 55.4375	  55.438	  66.355
 1107	  0.2200	 55.4862	  55.486	  66.415
 1108	  0.2200	 55.5362	  55.536	  66.475
 1109	  0.2200	 55.5863	  55.586	  66.535
 1110	  0.2200	 55.6362	  55.636	  66.595
 1111	  0.2200	 55.6862	  55.686	  66.655
 1112	  0.2200	 55.7362	  55.736	  66.715
 1113	  0.2200	 55.7875	  55.787	  66.775
 1114	  0.2200	 55.8375	  55.837	  66.835
 1115	  0.2200	 55.8875	  55.887	  66.895
 1116	  0.2200	 55.9375	  55.938	  66.955
 1117	  0.2200	 55.9875	  55.987	  67.015
 1118	  0.2200	 56.0375	  56.037	  67.075
 1119	  0.2200	 56.0875	  56.087	  67.135
 1120	  0.2200	 56.1387	  56.139	  67.195
 1121	  0.2200	 56.1875	  56.188	  67.255
 1122	  0.2200	 56.2388	  56.239	  67.315
 1123	  0.2200	 56.2862	  56.286	  67.375
 1124	  0.2200	 56.3375	  56.337	  67.435
 1125	  0.2200	 56.3875	  56.387	  67.495
 1126	  0.2200	 56.4375	  56.438	  67.555
 1127	  0.2200	 56.4875	  56.487	  67.615
